"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"1","The Thrillseekers","Synaesthesia (Fly Away) - Radio Edit",15.75,16.12,16.12,8.25,5.88,41.62,40.69,20.69,2.75,12.43,41.16,11.72,0.83,1.12,2.44,"5QdgpcfAw8EbsupH0B6BpI",NA,NA,NA,NA,18,"gems-9"
"2","Jorge Ben","Ponta de lan�a africano (Umbabarauma)",23,15.96,7.57,2.3,13.22,46.3,32.09,14.35,1.22,12.41,39.2,7.78,0.93,1.09,2.78,"0jayFuH5lbwOOVeJnwDgGf",NA,NA,NA,NA,24,"gems-9"
"3","Lamb","Heaven",12.6,17.5,22.75,14.8,15.65,13.35,26,15.05,11.3,16.66,19.68,13.18,-0.37,1.3,2.45,"0bjTW3zBohWdYy2z1Sf5hJ",NA,NA,NA,NA,20,"gems-9"
"4","Milton Nascimento","Cais",13.41,7.82,13.47,19.94,25.59,1.82,5.18,8.35,16.88,16.05,3.5,12.62,0.67,1.12,2.35,"1PVLHOm7WUbZMChq8JAFW9",NA,NA,NA,NA,17,"gems-9"
"5","Kylie Minogue","Please Stay (7th District Radio Mix)",13.92,12.5,10.29,6.92,8.08,36.67,31.12,16.04,1.58,10.34,33.9,8.81,0.89,1.04,2.5,"5MqHbBqicUU0wyXwk7TJR7",NA,NA,NA,NA,24,"gems-9"
"6","Ace of Base","Lucky Love",29.5,20.86,38,15.14,20.29,58.29,36.29,12.93,5,24.76,47.29,8.96,0.91,1.36,2.86,"2O5MugeVVDlVs4ThMCy1Lm",NA,NA,NA,NA,14,"gems-9"
"7","Seal","Kiss From A Rose",25.19,23.33,40.43,35.62,30.9,26.86,29.9,8.95,12.14,31.1,28.38,10.55,0.82,3.33,3.67,"3YKptz29AsOlm7WAVnztBh",NA,NA,NA,NA,20,"gems-9"
"8","Ashley Tisdale","Suddenly",27.5,25.27,27.27,35.14,42.05,10.64,17.36,5.05,27.82,31.45,14,16.43,0.82,1.59,2.86,"6YD8kmD2SQw5uwQGFZ9W9n",NA,NA,NA,NA,22,"gems-9"
"9","Donny Hathaway","Someday We'll All Be Free",21.3,10.75,27.85,28.25,43.6,18.75,7.15,4.6,7.85,26.35,12.95,6.22,0.9,1.3,2.7,"5J5rzvpYAQHlELldedLT9X",NA,NA,NA,NA,19,"gems-9"
"10","Warning","Echoes",15.54,18.38,15.54,4.08,7.38,14.58,37.69,20.08,10.73,12.18,26.13,15.4,0.82,1.12,2.62,"3GU59OzCMZvscGqSG4Lg0y",NA,NA,NA,NA,27,"gems-9"
