"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"1","The Thrillseekers","Synaesthesia (Fly Away) - Radio Edit",15.75,16.12,16.12,8.25,5.88,41.62,40.69,20.69,2.75,12.43,41.16,11.72,0.83,1.12,2.44,"5QdgpcfAw8EbsupH0B6BpI",NA,NA,NA,NA,18,"gems-9"
"2","Lamb","Heaven",12.6,17.5,22.75,14.8,15.65,13.35,26,15.05,11.3,16.66,19.68,13.18,-0.37,1.3,2.45,"0bjTW3zBohWdYy2z1Sf5hJ",NA,NA,NA,NA,20,"gems-9"
"3","Jam & Spoon","Right in the Night (Fall in Love With Music)",20.92,29.33,23.33,19.33,22.58,40.83,33.25,11.58,8.33,23.1,37.04,9.96,0.71,1.75,3.25,"6x6G0shZs4Qg4YLfLbhR7z",NA,NA,NA,NA,12,"gems-9"
"4","Bj�rk","Possibly Maybe (Live)",14.75,13.3,13.45,20.65,20.9,11.4,4.45,18.1,17.45,16.61,7.92,17.77,0.27,1.25,1.95,"4SngFKTnu9FbOldhGvHUlG",NA,NA,NA,NA,20,"gems-9"
"5","Zero 7","In the Waiting Line",19.79,16.14,26.36,31.5,42.21,25.21,10,8.64,9.86,27.2,17.61,9.25,0.85,1.57,3.14,"5ARrtxJLVCeTv5TWo1oKgC",NA,NA,NA,NA,14,"gems-9"
"6","Submotion Orchestra","Variations",10.39,7.39,6.44,25.33,33.83,4.28,2.39,5.83,6.94,16.68,3.33,6.39,0.87,1,2.11,"3qzxORCDY3UpbvT7p7WYIE",NA,NA,NA,NA,18,"gems-9"
"7","The Weeknd","Wicked Games",32.95,25.26,30,46.89,35.26,23.26,37,12.58,11.68,34.07,30.13,12.13,0.76,1.84,3.37,"6VwBbL8CzPiC4QV66ay7oR",NA,NA,NA,NA,18,"gems-9"
"8","Ridgewalkers","Find (Andy Moor Remix)",29.93,33.86,28.14,20.71,18.86,40.64,46.5,23.5,12.57,26.3,43.57,18.04,0.68,1.36,2.64,"5DpHrixQf7FfpAQJLAX2Fw",NA,NA,NA,NA,14,"gems-9"
"9","Submotion Orchestra","Eyeline",25.67,18.73,12.67,10.87,14.73,10.93,23.67,14.2,11.6,16.53,17.3,12.9,0.45,1.07,2.33,"2sqeVVvHRuskC1E4nA1Xls",NA,NA,NA,NA,17,"gems-9"
"10","September","R.I.P.",12,6.65,12,8.88,3.88,31.47,30.35,10.12,5.65,8.68,30.91,7.88,0.79,1.12,2.88,"4BPyxkPrDW7tsb86HUnb04",NA,NA,NA,NA,17,"gems-9"
"11","Portishead","Glory Box",29.18,16.09,33.55,36.73,25.09,17.73,13.36,2.27,13.09,28.13,15.55,7.68,0.56,2.09,3.45,"3Ty7OTBNSigGEpeW2PqcsC",NA,NA,NA,NA,11,"gems-9"
"12","The Weeknd","The Town",24.28,17.67,14.89,19.11,14.83,15.22,18,26.28,9.06,18.16,16.61,17.67,-0.22,1.78,2,"7jGr8wzgwOVLuktY66qM5f",NA,NA,NA,NA,18,"gems-9"
"13","Deee-Lite","Apple Juice Kissing",9.3,6.78,11.74,25.22,14.19,13.33,10.41,9.96,1.44,13.44,11.87,5.7,0.7,1.11,2.22,"7fh5bhI5rzRBcSX9IKFNir",NA,NA,NA,NA,27,"gems-9"
"14","Shpongle","I Am You",9.93,15.43,2.79,2.79,1.86,20.29,17.57,32.64,1.86,6.56,18.93,17.25,0.79,1.07,2.14,"3k3RK6cRZa165izv0rTv4Z",NA,NA,NA,NA,14,"gems-9"
"15","Emika","Drop the Other",27.39,32,19.33,12.61,22.17,23,34.5,26.17,11.67,22.7,28.75,18.92,0.52,1.17,3.06,"1sHoqPtMfaZML6P77Q586a",NA,NA,NA,NA,18,"gems-9"
"16","S�bastien Tellier","La Ritournelle",30.67,21.92,33.17,34.67,57.17,5.75,4.33,6.83,55.33,35.52,5.04,31.08,0.87,1.5,3.17,"0qG1teoBvooRo7Z5Z8edCk",NA,NA,NA,NA,12,"gems-9"
"17","Chicane","Autumn Tactics",16.82,14.06,21.53,16,23.53,16.71,9.53,8.65,18.47,18.39,13.12,13.56,0.2,1.12,2.29,"7LmG4gBYF7T53JVfgVVFKy",NA,NA,NA,NA,17,"gems-9"
"18","Flunk","Six Seven Times",22.89,20.56,28.11,21.67,36,14.28,14.94,5.89,26.17,25.84,14.61,16.03,0.72,1.44,2.78,"2jknEB3TLUX5vEaLI4gttE",NA,NA,NA,NA,18,"gems-9"
"19","Madonna","Gang Bang",17.94,22.69,10.25,5.56,9.06,29.94,40.06,25.31,6.06,13.1,35,15.69,0.87,1.5,2.81,"5IYWdpFJAeKLggc7B8xtJm",NA,NA,NA,NA,15,"gems-9"
"20","Apparat","Black Water",18.88,22.76,19.47,16,18.88,9,17.12,13.24,26.24,19.2,13.06,19.74,0.24,1.29,2.65,"3mFu6HJLVeyyUyTS1EkHFP",NA,NA,NA,NA,17,"gems-9"
"21","Pinball","Come Into My Dream",21.31,10.46,9.77,13.23,9.31,31.15,24.15,19.54,2.92,12.82,27.65,11.23,0.58,1.46,2.15,"2JPFEnjLROchH7qqoRy9Vl",NA,NA,NA,NA,14,"gems-9"
