"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"1","Donny Hathaway","Someday We'll All Be Free",21.3,10.75,27.85,28.25,43.6,18.75,7.15,4.6,7.85,26.35,12.95,6.22,0.9,1.3,2.7,"5J5rzvpYAQHlELldedLT9X",NA,NA,NA,NA,19,"gems-9"
"2","Hot Chocolate","You Sexy Thing",23.28,15.07,37.28,28.07,26.66,48.72,28.52,6.66,5.41,26.07,38.62,6.03,0.91,2.69,3.31,"714hERk9U1W8FMYkoC83CO",NA,NA,NA,NA,31,"gems-9"
"3","Novos Baianos","Curto De V�u E Grinalda",13.47,12.68,9.68,7.16,7,33.68,38.84,18.21,2.26,10,36.26,10.24,0.89,1.21,2.37,"7rFNyShNdXvg4j6qK9lBSC",NA,NA,NA,NA,20,"gems-9"
"4","Tamar Braxton","Sound of Love",11.82,8.29,7.29,7.47,8.12,10.41,14.29,35.88,11.76,8.6,12.35,23.82,0.79,1.29,1.76,"1QSNwan8EvZeJhuDag0aqX",NA,NA,NA,NA,19,"gems-9"
"5","Duffy","Rockferry",13.7,11.1,18.5,16.1,24.5,4.9,8.2,1.7,17.2,16.78,6.55,9.45,0.48,1.7,3.1,"78twQ5XCFJMTE37ZSU0gsj",NA,NA,NA,NA,10,"gems-9"
"6","Boney M.","Rasputin",15,22.25,31.25,2.05,9.35,64.95,51.6,12.9,0.7,15.98,58.27,6.8,0.95,4,3.65,"5jkFvD4UJrmdoezzT1FRoP",NA,NA,NA,NA,20,"gems-9"
"7","Donna Summer","Winter Melody",29.32,23.11,35.63,36.47,45.47,45.84,22.84,7.11,15.74,34,34.34,11.42,0.83,1.32,3.16,"1zHOjqf8DqjNq6OB7Y5mrF",NA,NA,NA,NA,19,"gems-9"
"8","Christina Aguilera","Something's Got a Hold on Me",19.92,10.08,29.92,12,18.25,42.92,47.75,5.33,1.25,18.03,45.33,3.29,0.87,1.92,3.17,"2CVMTJWBqbtaCWNWbcBZae",NA,NA,NA,NA,12,"gems-9"
"9","The Whispers","And the Beat Goes On",23.65,15.5,30.55,18.55,24.85,51.3,23.7,11.1,5.75,22.62,37.5,8.43,0.84,1.95,3.15,"7oQ1wkBmYSBEC2x7U08dvn",NA,NA,NA,NA,21,"gems-9"
"10","Al Green","Let's Stay Together",24.93,25.57,33.43,51.64,42.36,44.93,16.5,7.14,7.36,35.59,30.71,7.25,0.89,2.07,3.43,"63xdwScd1Ai1GigAwQxE8y",NA,NA,NA,NA,15,"gems-9"
