"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"1","Trailerpark","Schlechter Tag",26.83,33.67,5.67,7.92,7.42,36,3.92,18.67,0,16.3,19.96,9.33,0.67,2,3.17,NA,"https://youtube.com/clip/Ugkxf5fmFiQEz9AO6cjfIswgzRsJmSFsHTQ4","Ugkxf5fmFiQEz9AO6cjfIswgzRsJmSFsHTQ4","0:19","1:01",12,"gems-45_mx"
"2","Desiigner","Panda",40,10.5,1.17,15.5,12.17,45.58,37.42,14.25,1.58,15.87,41.5,7.92,0.76,4.25,3.83,"275a9yzwGB6ncAW4SxY7q3","https://youtube.com/clip/UgkxQz5bPiHchdgU1Ie2V9uYNUt_ovZ6pl5O","UgkxQz5bPiHchdgU1Ie2V9uYNUt_ovZ6pl5O","0:39","1:09",12,"gems-45_mx"
"3","NAS","Doo Rags",40.75,31.83,22.75,32.33,26.25,39.42,41.08,0,3.75,30.78,40.25,1.88,0.61,2.08,4,"2XQrvYopdCkOenX4Z5CdV7","https://youtube.com/clip/UgkxHgPXHI3iwijH2ubl4ECPZWr71pOH2kNY","UgkxHgPXHI3iwijH2ubl4ECPZWr71pOH2kNY","0:17","1:11",12,"gems-45_mx"
"4","DMX","X Gon' Give It To Ya",28.18,12.09,15.82,14.55,15.09,62.09,62.18,0,1.09,17.15,62.14,0.55,0.87,3.91,4.18,"1zzxoZVylsna2BQB65Ppcb","https://youtube.com/clip/UgkxMeHC_SJHx7meQn7dBLWcFSeJvrcjj8dO","UgkxMeHC_SJHx7meQn7dBLWcFSeJvrcjj8dO","0:20","1:03",11,"gems-45_mx"
"5","Xatar","Meine Gro�e Liebe",10.82,27.18,0,15.45,1,22.91,27.18,6.73,0,10.89,25.05,3.36,0.52,2,2.64,"7H1xPBRWYLhPGluTUDUYOw","https://youtube.com/clip/UgkxFhBctjHXvMsHAcraQU2xMxEYvWxFm_wL","UgkxFhBctjHXvMsHAcraQU2xMxEYvWxFm_wL","2:15","2:52",11,"gems-45_mx"
"6","Biggie Smalls","Hypnotize",44.58,21.58,33.42,12.92,28.25,39.17,23,12.25,0,28.15,31.08,6.12,0.53,3.58,3.83,"6Tsu3OsuMz4KEGKbOYd6A0","https://youtube.com/clip/Ugkxbp2QRLTD6BTCpZW-yKc0OFZeAW5I8r09","Ugkxbp2QRLTD6BTCpZW-yKc0OFZeAW5I8r09","0:53","1:33",12,"gems-45_mx"
"7","Salt-N-Pepa","Shoop",16.85,13.21,7.79,4.35,14.85,55.62,31.15,4.94,0,11.41,43.38,2.47,0.93,2.12,3.47,"0Pu71wxadDlB8fJXfjIjeJ","https://youtube.com/clip/UgkxI8XA0Ss2SLFsfghG7NqcNGfMsRxxpZYv","UgkxI8XA0Ss2SLFsfghG7NqcNGfMsRxxpZYv","1:08","1:52",34,"gems-45_mx"
"8","Prinz Pi","Laura",11.03,8.53,10.82,7.56,13.71,6.15,12.97,21.26,14.09,10.33,9.56,17.68,0.06,1.24,2.18,"4pbTElMDaHrkLOfOv8nUdC","https://youtube.com/clip/UgkxKywj4WMS6UIR12bQWx3DD6jYhjU0j1Em","UgkxKywj4WMS6UIR12bQWx3DD6jYhjU0j1Em","1:40","2:26",34,"gems-45_mx"
"9","Black Eyed Peas","Where Is The Love",40.67,40.61,29.21,7.06,9.73,37.39,28.48,7.45,14.24,25.45,32.94,10.85,0.87,3.97,3.73,"1FreAz1lmnDi5aKLB6GdFM","https://youtube.com/clip/UgkxAcAvpg9Rn3wufSr74nt2XWz5VAoqurTl","UgkxAcAvpg9Rn3wufSr74nt2XWz5VAoqurTl","1:38","2:23",33,"gems-45_mx"
"10","Blumio","Lass Mal �ber Haie Reden",10.56,11.22,2.41,5.56,11.89,39.78,27.59,23.96,3.33,8.33,33.69,13.65,0.84,1.22,2.7,"2cdXF2fdd1q3wXg7VnxzEJ",NA,NA,NA,NA,27,"gems-45_mx"
