"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"1","Jorge Ben","Ponta de lan�a africano (Umbabarauma)",23,15.96,7.57,2.3,13.22,46.3,32.09,14.35,1.22,12.41,39.2,7.78,0.93,1.09,2.78,"0jayFuH5lbwOOVeJnwDgGf",NA,NA,NA,NA,24,"gems-9"
"2","Milton Nascimento","Cais",13.41,7.82,13.47,19.94,25.59,1.82,5.18,8.35,16.88,16.05,3.5,12.62,0.67,1.12,2.35,"1PVLHOm7WUbZMChq8JAFW9",NA,NA,NA,NA,17,"gems-9"
"3","IU","The red shoes",27.62,19.38,18.75,15.19,11.31,49.75,41.69,18.94,0.94,18.45,45.72,9.94,0.88,1.19,2.62,"3atsk5EWI5fNxLMIJnfYfJ",NA,NA,NA,NA,17,"gems-9"
"4","Jorge Ben Jor","Mas, Que Nada!",22.36,25.86,36.93,31.57,42.29,31.93,13.29,13.57,12.21,31.8,22.61,12.89,0.74,2.5,2.93,"6U03Orwr5Dxt8jahLnQpYV",NA,NA,NA,NA,14,"gems-9"
"5","Bobby Caldwell","Open Your Eyes",15.81,14.44,42.44,31.06,40.88,38.88,21.12,5.62,3.56,28.92,30,4.59,0.86,1.25,3,"1Yrgyxebkguu4MGFkDoINo",NA,NA,NA,NA,16,"gems-9"
"6","Fiona Apple","The First Taste",19.85,22.69,26.38,32.62,38.77,15.27,14.35,7.81,21.08,28.06,14.81,14.44,0.81,1.19,2.35,"21Xc8hEIzv81jwiftI4hJB",NA,NA,NA,NA,26,"gems-9"
"7","Sarah Vaughan","Misty",10.83,7.52,22.57,13.13,24.96,42.57,13.17,14.35,2,15.8,27.87,8.17,0.85,1.52,2.78,"7gHFBNy0Qn86xGKJ9OdFTw",NA,NA,NA,NA,23,"gems-9"
"8","Dinah Washington","Cry Me a River",29,28.55,38.45,40.36,37,24,29.64,12.91,34.18,34.67,26.82,23.55,0.25,2.09,2.91,"4ydtQJImyQg6UDFFZBzgxp",NA,NA,NA,NA,11,"gems-9"
"9","Djavan","Serrado",15.17,5.92,11.92,14.83,29.67,43.58,11.83,8.33,3.67,15.5,27.71,6,0.87,1,2.5,"7EjRiBMib2EG0cdMEXavbC",NA,NA,NA,NA,12,"gems-9"
"10","Ana Carolina","T� rindo, �?",15.8,9.85,18.2,27.45,30.3,25.65,16.1,10.05,1.65,20.32,20.88,5.85,0.84,1.15,2.65,"65GmViOSKcP7jK0wNqRs8r",NA,NA,NA,NA,19,"gems-9"
"11","The Ink Spots","I Don't Want to Set the World on Fire",21.25,16.19,52,32.88,51.19,19.38,6.38,1.25,17.69,34.7,12.88,9.47,0.92,2.25,3.38,"777zXDJpBufzttU4AJ2dGO",NA,NA,NA,NA,16,"gems-9"
"12","The Andrews Sisters","In the Mood",24.67,18.53,30.4,6.93,13.8,56.13,36.27,7.93,0.8,18.87,46.2,4.37,0.87,1.53,3.07,"6jO6eAQG1JW7fel2csJ5XQ",NA,NA,NA,NA,15,"gems-9"
"13","Squirrel Nut Zippers","Low Down Man",17.5,15.08,31.33,34.5,34.08,5.92,3.75,9.33,24.67,26.5,4.83,17,0.76,1.25,2.67,"0Ta1U180vOfj8LlhUM1Qvh",NA,NA,NA,NA,12,"gems-9"
"14","George Benson","Turn Your Love Around",24.54,27.54,42.31,36.77,38,51.85,26.92,4.38,5.31,33.83,39.38,4.85,0.85,2.23,3.69,"6a899bXlCuViXW2Qs8Rdqo",NA,NA,NA,NA,13,"gems-9"
"15","Vin�cius de Moraes","Samba em Prel�dio",29.77,18.15,35.23,37.15,32.31,14.85,4.92,2.15,19.85,30.52,9.88,11,0.78,1.08,3.38,"7yYKjc8k6UrqeBig0bDeFy",NA,NA,NA,NA,14,"gems-9"
"16","Chet Baker","The Thrill Is Gone",33.83,27,37.08,41.42,55.08,3.67,3,6.67,47.08,38.88,3.33,26.88,0.88,1.42,2.75,"0kKQreifydSOeqZzHkNW67",NA,NA,NA,NA,11,"gems-9"
"17","Gino Vannelli","Wheels Of Life",28.74,13.58,38.16,48.89,31.26,17.84,18.63,1.37,19,32.13,18.24,10.18,0.85,1.58,2.95,"7uE9ZeScOg28zFE7OHQxuR",NA,NA,NA,NA,19,"gems-9"
"18","Melody Gardot","Worrisome Heart",29.67,22.17,32.17,37.25,37.33,28.5,24.75,15.08,14.08,31.72,26.62,14.58,0.22,1.42,2.5,"3zh5km8gPDYMiWvmLTsos0",NA,NA,NA,NA,13,"gems-9"
"19","Al Jarreau","Ain't No Sunshine",21.31,13.31,47.31,31.77,27.15,32.92,23.69,11.69,18.31,28.17,28.31,15,0.69,3.54,3.92,"0Res4ooR61zc5T7m2Fswog",NA,NA,NA,NA,13,"gems-9"
"20","Ambrosia","You're the Only Woman",14.35,8.96,35.31,31.15,21.12,27.35,17.5,2.73,10.62,22.18,22.42,6.67,0.88,1.35,3.04,"11qmuUlW5q5diLiVSOlsSF",NA,NA,NA,NA,25,"gems-9"
"21","Michael Bubl�","Feeling Good",13.92,10,33,21.92,24.92,15.58,13.33,12.75,5.33,20.75,14.46,9.04,0.46,2.83,3.5,"3I09LQbHS3NSU46Ly3tPpR",NA,NA,NA,NA,12,"gems-9"
"22","Louis Armstrong","What a Wonderful World",41,25.29,53.43,54.14,52.64,42.57,17.64,3.14,11.79,45.3,30.11,7.46,0.86,3.43,3.5,"29U7stRjqHU6rMiS8BfaI9",NA,NA,NA,NA,14,"gems-9"
"23","Norah Jones","Humble Me",32.54,29.38,42.08,53.69,56,5.85,13,4.69,57.46,42.74,9.42,31.08,0.91,1.38,3.46,"7BboupyTdAr1nmMJZw0V4h",NA,NA,NA,NA,13,"gems-9"
"24","Chico Buarque","Sonho De Um Carnaval",14.46,10.15,19.23,18.46,37.69,18.69,4.62,5.69,7.77,20,11.65,6.73,0.74,1.31,2.62,"6VlapIlYfqtoiWsE0DZUsE",NA,NA,NA,NA,13,"gems-9"
"25","Sarah Vaughan","He's My Guy",17.75,15.42,26.33,28.08,47.33,33,27.67,7.08,1.58,26.98,30.33,4.33,0.71,1.08,3,"5Po3D0fxlUpQTciXYWOmnJ",NA,NA,NA,NA,12,"gems-9"
"26","WJSN","HURRY UP",8.5,10.25,9.88,3.25,6.5,57.88,28.62,10.81,1.12,7.68,43.25,5.97,0.95,1.06,2.31,"1lAuz7VJzbhhYHTQ11JE12",NA,NA,NA,NA,16,"gems-9"
"27","Wayne Newton","Danke Schoen",14.71,15.64,38.57,21.5,11.5,23,16.71,13.29,7.5,20.39,19.86,10.39,0.64,2.07,3,"1BfbdFWT4wirsQ5BNgmN52",NA,NA,NA,NA,13,"gems-9"
"28","Nina Simone","That's All I Ask",24.33,17.6,38.07,43.67,29.67,15.27,18.87,6.4,34.87,30.67,17.07,20.63,0.77,1.27,2.93,"5uI8omnLtzW4xTqJ5AoQtT",NA,NA,NA,NA,15,"gems-9"
"29","Elis Regina","Como Nossos Pais",20.31,16.56,16.44,23.38,14.62,21.44,19.69,9.19,17.88,18.26,20.56,13.53,-0.28,1.06,2.44,"2ZC8sdv4Kvuql7Q9T8Agzv",NA,NA,NA,NA,18,"gems-9"
"30","Ella Fitzgerald","The Nearness Of You",30.08,16.58,62.75,36.42,65.33,22.25,11.58,3.83,13.83,42.23,16.92,8.83,0.89,1.58,3.58,"39CdOo5GPGSIdxWDvyyWkr",NA,NA,NA,NA,12,"gems-9"
"31","Duke Ellington","Sophisticated Lady",22,17.42,40.75,30.83,44.5,19.58,9.17,8.5,12.5,31.1,14.38,10.5,0.75,1.33,3.17,"2ua1p76h5Yy2u3dVZ9Qb0l",NA,NA,NA,NA,12,"gems-9"
"32","S�rgio Mendes","Mas que nada",15.56,17.33,16,12.17,30.78,37.33,20.67,14.28,2.11,18.37,29,8.19,0.69,3.22,3.28,"6U7GUjtamt2P0LcFod1dBT",NA,NA,NA,NA,18,"gems-9"
"33","Amy Winehouse","I Heard Love Is Blind",24.73,13.09,17.73,26.45,40.36,31.55,2.18,3.64,5.91,24.47,16.86,4.77,0.8,1.18,2.55,"3Li4nWTnkUu19vxkhNW9td",NA,NA,NA,NA,11,"gems-9"
"34","Madeleine Peyroux","To Love You All Over Again",22.33,21.25,31,25.58,41.75,10.08,7.17,0.75,23.17,28.38,8.62,11.96,0.85,1.08,3,"4EPwpBN0t11bIxjsAI8oaF",NA,NA,NA,NA,12,"gems-9"
"35","Faf� de Bel�m","Foi Assim",14.67,13.83,28.21,22.42,29.88,15.21,9.33,7.46,11.62,21.8,12.27,9.54,0.81,1.12,2.17,"55snJzt0NFIY0unGMjMuw9",NA,NA,NA,NA,24,"gems-9"
"36","Panic! at the Disco","Death of a Bachelor",13.19,3.94,13.94,24.06,17.69,9.81,7.44,9.69,1.44,14.56,8.62,5.56,0.66,1.31,2.19,"1BECwm5qkaBwlbfo4kpYx8",NA,NA,NA,NA,16,"gems-9"
"37","Diablo Swing Orchestra","Balrog Boogie",7.21,9.93,7.29,0.5,0.79,25.64,32.29,24.93,0.5,5.14,28.96,12.71,0.87,1.21,2,"65RptVLH4KdgCeEAuPS8WY",NA,NA,NA,NA,14,"gems-9"
"38","Nat King Cole","Unforgettable",28.83,20.33,62.92,48.83,61,16.42,6.25,7.92,20.92,44.38,11.33,14.42,0.89,2.33,3.67,"648TTtYB0bH0P8Hfy0FmkL",NA,NA,NA,NA,13,"gems-9"
"39","Adriana Calcanhotto","Devolva-me",18,15.5,32.29,27.79,40.71,5.29,11.14,9.07,26.93,26.86,8.21,18,0.78,1.07,2.5,"5sz2LrG6jY6u7U0g2k7kws",NA,NA,NA,NA,14,"gems-9"
"40","Christina Aguilera","I Got Trouble",14,14.15,27.15,23.08,31.85,23.08,28.08,11.46,5.62,22.05,25.58,8.54,0.57,1.38,2.92,"6eRY1OgTVUeqtyEviApFaw",NA,NA,NA,NA,13,"gems-9"
"41","Patti LaBelle","Over The Rainbow",34.15,30.69,24.23,20.08,15,21.23,45.54,8.23,6.31,24.83,33.38,7.27,0.8,1.85,2.85,"3e7isfNT5Z8TSms4zPkMPV",NA,NA,NA,NA,13,"gems-9"
"42","Billie Holiday","Lady Sings The Blues",14.79,13.5,30.07,27.71,30.36,7.29,4.71,3,19.29,23.29,6,11.14,0.74,1,2.29,"6rX7Rgi2O5csTzLan7rL0c",NA,NA,NA,NA,14,"gems-9"
"43","Vanessa da Mata","Eu N�o Tenho",13.56,5.39,13.83,16.72,22.17,19.89,4.94,4.67,4,14.33,12.42,4.33,0.71,1.11,2.39,"3RfOd8VhrhsV7othWm5mNF",NA,NA,NA,NA,18,"gems-9"
"44","Caetano Veloso","Alexandre",14.07,5.57,9.43,10.5,10.5,40.29,11.07,9.29,2.36,10.01,25.68,5.82,0.8,1,2.64,"4fpHhkV7T4WEwdkpN5tL6R",NA,NA,NA,NA,14,"gems-9"
"45","Nina Simone","I Want a Little Sugar in My Bowl",29.19,15.94,35.69,35.38,48.31,17.31,14.81,1.81,28.75,32.9,16.06,15.28,0.85,1.44,3.12,"3NcJu9876GBJuNU6vJOrbb",NA,NA,NA,NA,17,"gems-9"
"46","Tony Bennett","Rags to Riches",28.08,10.85,31.23,26.69,24.54,26.46,12,9.77,12.85,24.28,19.23,11.31,0.56,1.08,2.77,"4BH8EuPAxeFAh1rSWtnGdD",NA,NA,NA,NA,13,"gems-9"
"47","Maria Beth�nia","Olhos Nos Olhos",28.88,12.75,20.62,46.19,47.12,14.62,8.5,5.75,23.12,31.11,11.56,14.44,0.87,1,2.75,"1UBJvypv5W1GNoplpc2EYl",NA,NA,NA,NA,16,"gems-9"
"48","Toquinho","Garota de Ipanema",13.54,6.92,28.31,14.54,27.69,34,9.92,9.38,0.54,18.2,21.96,4.96,0.77,1.08,2.69,"0KtpvAIKMUD4wSsHv25IMn",NA,NA,NA,NA,13,"gems-9"
"49","Sara Gazarek","Yours",4.57,0,24.29,54.14,59.86,23,2.14,0,5.71,28.57,12.57,2.86,0.91,1.14,2.86,"3STjN5FAkJiljtZzrSeE0I",NA,NA,NA,NA,7,"gems-9"
"50","Karrin Allyson","Moanin'",22.57,17,28.64,17,40.64,42.86,11.86,8,5,25.17,27.36,6.5,0.87,1.07,3.21,"2FcKhzTwtj5wKdri7bXBMK",NA,NA,NA,NA,14,"gems-9"
"51","Astrud Gilberto","And Roses And Roses",26.31,21.94,38.94,38.38,50.06,17.56,4.75,11.19,25.12,35.12,11.16,18.16,0.83,1.19,2.31,"0BEn0rwSyzuvhKgZ7GLbyO",NA,NA,NA,NA,16,"gems-9"
"52","Billie Holiday","The Man I Love",19.25,21.58,33.5,31.67,49.58,6.33,4.5,14.75,16.83,31.12,5.42,15.79,0.8,1,1.92,"0ndEbK6LnERIPBG6t4gXDX",NA,NA,NA,NA,12,"gems-9"
"53","Eliane Elias","Time Alone",15.08,13,22.85,37.92,51.62,7.31,4,3.69,17.69,28.09,5.65,10.69,0.87,1.08,2.92,"1hYd1uyB9HQpf4icjtBQoB",NA,NA,NA,NA,13,"gems-9"
"54","Maysa","Dindi",32.23,24.54,28.54,44.69,45.31,16.54,13.54,2.08,28.08,35.06,15.04,15.08,0.72,1.08,2.92,"6cc51rDYn6G9lahsZk3Fsh",NA,NA,NA,NA,12,"gems-9"
"55","Diana Krall","Walk On By",30.69,13.19,27,21.31,45.5,36.12,22.38,8.88,3.62,27.54,29.25,6.25,0.85,1.38,3.44,"4jZRI1v2LLaDTshDW9qruu",NA,NA,NA,NA,16,"gems-9"
"56","C�u","Mais um Lamento",16.82,14.94,16,13.59,25.71,17.65,7.18,12.82,7.47,17.41,12.41,10.15,0.32,1.24,2.65,"7Ms8NNySNGSNtjYtdBqrMD",NA,NA,NA,NA,17,"gems-9"
"57","Nina Simone","Sinnerman",21.64,18.07,8,11.5,15.93,35.57,22.43,26.07,2,15.03,29,14.04,0.59,1.14,2.57,"5xRP5iyVdGglqlY4Vcjhkx",NA,NA,NA,NA,15,"gems-9"
"58","Billie Holiday","Strange Fruit",23,16.89,43.83,40,44.28,6.89,8.22,12.17,40.22,33.6,7.56,26.19,0.87,1.39,3.06,"1CTex49P0iWwzUGsMNjgaV",NA,NA,NA,NA,17,"gems-9"
"59","Louis Prima","Buona Sera",18.93,7.27,28.73,20.87,17,42.8,22.87,10.33,0.87,18.56,32.83,5.6,0.77,1.2,2.53,"0DXm5n7SBxCED9ssTvrx2J",NA,NA,NA,NA,15,"gems-9"
"60","Ella Fitzgerald","All of Me",13.8,7.67,33.53,15,9.6,49.07,16,6,0.33,15.92,32.53,3.17,0.9,1.2,3,"0qZo9OzKPzg58Ts9ad4Bcy",NA,NA,NA,NA,15,"gems-9"
"61","Madonna","He's a Man",3.69,7.25,10.19,12.94,15.44,10,17.81,10.56,8.12,9.9,13.91,9.34,0.07,1.25,1.88,"4714JHYV5kiMKsuo8eP41E",NA,NA,NA,NA,16,"gems-9"
"62","Louis Armstrong","Mood Indigo",27.33,19.42,42.58,29.25,42.5,17.83,5.5,5,16.58,32.22,11.67,10.79,0.78,1.33,3.25,"1Fo98RNzO78WnMtkZKZXMW",NA,NA,NA,NA,12,"gems-9"
"63","Swing Out Sister","You On My Mind",0,11.5,9.62,11.5,19.75,25.12,8.5,10.38,2.62,10.47,16.81,6.5,0.3,1,2,"4uYeKlfkLQMubZ9FhcbDfP",NA,NA,NA,NA,11,"gems-9"
"64","Doris Day","Dream a Little Dream of Me",25,11.54,62.69,62.38,58.38,13.62,6.38,3,20.23,44,10,11.62,0.94,3.23,3.69,"2HyPrPSANTIPkR6CfiytwY",NA,NA,NA,NA,14,"gems-9"
"65","Frank Sinatra","Fly Me to the Moon",30.18,13.82,27.91,43.82,20.55,41.91,19.91,6.09,2.09,27.25,30.91,4.09,0.83,2,3.36,"5b7OgznPJJr1vHNYGyvxau",NA,NA,NA,NA,11,"gems-9"
"66","Eva Cassidy","True Colors",18.29,13.14,44.93,24.21,37.79,22.36,10.36,0.5,14.07,27.67,16.36,7.29,0.82,1.93,2.79,"7iYvpjSQ9OuXTAMGSRiLJZ",NA,NA,NA,NA,14,"gems-9"
"67","Michael Bubl�","Come Fly With Me",24.92,20,42.17,43.25,35.75,41.17,14,1.75,8.5,33.22,27.58,5.12,0.89,2.92,3.08,"2Cakl6tRkLxccrnqJdvGpu",NA,NA,NA,NA,12,"gems-9"
"68","Nat King Cole","Orange Colored Sky",37.4,14.5,52.3,32.3,22.4,37.3,36.2,13.4,3,31.78,36.75,8.2,0.76,2.2,2.9,"6fUDNcmsnnUVyOtEnA9xdC",NA,NA,NA,NA,10,"gems-9"
"69","Ella Fitzgerald","Dream A Little Dream Of Me",31.47,27.2,48.93,47.67,49.87,18.2,10.2,4.4,16.8,41.03,14.2,10.6,0.9,2.6,3.53,"78MI7mu1LV1k4IA2HzKmHe",NA,NA,NA,NA,15,"gems-9"
"70","Chico Buarque","Tatuagem",15.46,6.38,10.46,19.46,41.46,7.38,1.69,7.54,8.85,18.65,4.54,8.19,0.81,1,2.31,"2eNz0RVTnVhleCBrZETeDG",NA,NA,NA,NA,13,"gems-9"
"71","Edu Lobo","Candeias",29,19.59,29.14,37.91,57.23,10.95,9.27,2.41,17.82,34.57,10.11,10.11,0.93,1,2.95,"50dHwlPsvC4Gp16DifoPOl",NA,NA,NA,NA,22,"gems-9"
"72","Jamie Cullum","Mind Trick",29,16.9,43.9,29.8,48.8,46.4,24.8,7.3,3.6,33.68,35.6,5.45,0.83,1.5,3.1,"1rLs5c68LOspqWKcCMdXKO",NA,NA,NA,NA,10,"gems-9"
"73","Frank Sinatra","Like Someone in Love",38.3,22.8,61.3,68.3,62.3,29.3,21.8,7.6,26.2,50.6,25.55,16.9,0.87,1.7,3.3,"0CaqEVnLB5plVzrlrMjfKT",NA,NA,NA,NA,10,"gems-9"
"74","Nara Le�o","Acender As Velas",16,17.39,28.61,24.17,30.65,21.39,5.65,6.35,9.3,23.37,13.52,7.83,0.79,1.22,2.65,"51WPyWMsRCsQL1rLd0D6EO",NA,NA,NA,NA,23,"gems-9"
"75","Count Basie","Shiny Stockings",15.8,14.2,35.27,16.2,53.8,22.53,1.6,5,2.13,27.05,12.07,3.57,0.92,1.53,3.6,"5JZoHrIGklz4iUlUNjMBcs",NA,NA,NA,NA,15,"gems-9"
"76","Chico Buarque","Constru��o",9.14,13.81,12.24,3.67,8.95,9.19,11.38,29.76,10.95,9.56,10.29,20.36,0.64,1,1.81,"3FIuBxOxuQ6kYy8JO0gq2a",NA,NA,NA,NA,20,"gems-9"
"77","Stan Getz","S� Dan�o Samba",23.21,12.07,24.36,8.64,28.36,32.93,19.5,11.21,1.43,19.33,26.21,6.32,0.7,1.29,2.71,"5je0CDv1Z1hT82Nek1Fjhl",NA,NA,NA,NA,14,"gems-9"
"78","Amy Winehouse","Know You Now",14.84,13.16,23.11,11.53,15.74,18.37,16.84,13.63,23.79,15.67,17.61,18.71,-0.04,1.21,2.47,"0UVTzpqtuQpuZCd7ZeZeTj",NA,NA,NA,NA,20,"gems-9"
"79","Beck","Tropicalia",19.62,15.31,26.85,18.92,11.69,27,15.46,8.69,2.69,18.48,21.23,5.69,0.63,1.54,2.92,"6rx6Ew1sday1KvsnD4HNdI",NA,NA,NA,NA,13,"gems-9"
