"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"1","Kylie Minogue","Please Stay (7th District Radio Mix)",13.92,12.5,10.29,6.92,8.08,36.67,31.12,16.04,1.58,10.34,33.9,8.81,0.89,1.04,2.5,"5MqHbBqicUU0wyXwk7TJR7",NA,NA,NA,NA,24,"gems-9"
"2","Ace of Base","Lucky Love",29.5,20.86,38,15.14,20.29,58.29,36.29,12.93,5,24.76,47.29,8.96,0.91,1.36,2.86,"2O5MugeVVDlVs4ThMCy1Lm",NA,NA,NA,NA,14,"gems-9"
"3","Seal","Kiss From A Rose",25.19,23.33,40.43,35.62,30.9,26.86,29.9,8.95,12.14,31.1,28.38,10.55,0.82,3.33,3.67,"3YKptz29AsOlm7WAVnztBh",NA,NA,NA,NA,20,"gems-9"
"4","Ashley Tisdale","Suddenly",27.5,25.27,27.27,35.14,42.05,10.64,17.36,5.05,27.82,31.45,14,16.43,0.82,1.59,2.86,"6YD8kmD2SQw5uwQGFZ9W9n",NA,NA,NA,NA,22,"gems-9"
"5","George Michael","Careless Whisper",40.48,34.86,69.33,56.81,37.86,39.19,31.1,8.86,32.52,47.87,35.14,20.69,0.88,4.57,4.38,"4jDmJ51x1o9NZB5Nxxc7gY",NA,NA,NA,NA,21,"gems-9"
"6","The Saturdays","Forever Is Over",15.93,17.4,17.47,9.4,7.27,29.53,37.13,11.4,8.93,13.49,33.33,10.17,0.73,1.2,2.27,"6mSqWsqiv9LLPPKxrwh3yU",NA,NA,NA,NA,15,"gems-9"
"7","Carpenters","We've Only Just Begun",28.38,16.72,50.72,43.28,46.03,29.45,7.34,2.28,8.14,37.03,18.4,5.21,0.95,2.41,3.28,"3m167vBQI5YLK0a1m6L6Y1",NA,NA,NA,NA,29,"gems-9"
"8","C�line Dion","Je crois toi",28.93,28.71,26.57,41,30.36,6.5,12.5,13.14,29.14,31.11,9.5,21.14,0.72,1,2.64,"3CehtvHVAVPaaukPIIL67r",NA,NA,NA,NA,14,"gems-9"
"9","Rilo Kiley","It Just Is",34.06,16.88,38.69,22.81,27.5,14.69,13.62,5.25,32.62,27.99,14.16,18.94,0.79,1.12,2.75,"26tR002TUAcmtfBLR7hVnS",NA,NA,NA,NA,18,"gems-9"
"10","Alcazar","This Is The World We Live In",18.29,20.47,30.18,13.94,11.94,49,45.12,6.88,2.12,18.96,47.06,4.5,0.85,2.41,3.18,"6HuwtnWUE0Y7MKUvoOyb2F",NA,NA,NA,NA,19,"gems-9"
