"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"1","Warning","Echoes",15.54,18.38,15.54,4.08,7.38,14.58,37.69,20.08,10.73,12.18,26.13,15.4,0.82,1.12,2.62,"3GU59OzCMZvscGqSG4Lg0y",NA,NA,NA,NA,27,"gems-9"
"2","Busted","Over Now",17.84,12.08,34.72,21.44,10.8,24.04,25.8,13.16,23.16,19.38,24.92,18.16,0.62,1.48,2.92,"70uvMWoagPhT9NeymzQxav",NA,NA,NA,NA,27,"gems-9"
"3","Cult of Luna","Finland",10.85,20.15,5.15,2.77,10.46,12.15,44.23,50.77,10.46,9.88,28.19,30.62,0.88,1.08,2.31,"3N8cK1O5u0RawDBbP4a0hc",NA,NA,NA,NA,13,"gems-9"
"4","John Farnham","Age of Reason",16.94,10.56,20.11,8.39,16.33,25.33,21.78,11.28,5.56,14.47,23.56,8.42,0.58,1.11,2.78,"3LQde40NABYOH14hWse0Yi",NA,NA,NA,NA,17,"gems-9"
"5","Avril Lavigne","Wish You Were Here",22,19.26,40.79,33.26,20.37,31.37,26.74,18.11,16.89,27.14,29.05,17.5,0.39,2.26,3.11,"5XHf9PBxxHmJFuiDkGNIOA",NA,NA,NA,NA,19,"gems-9"
"6","October Tide","Blackness Devours",17.07,25.33,7.6,2.13,3.27,12.87,42.8,47.27,16.8,11.08,27.83,32.03,0.84,1.07,2.07,"5KjDr2aEWTdOxdOs4gcuac",NA,NA,NA,NA,15,"gems-9"
"7","Tonight Alive","Let It Land",12.56,22.78,35.39,6.61,9.5,40,37.83,19.17,13.78,17.37,38.92,16.47,0.81,1.39,3.39,"3aKPJyIFrJAPTPWs2yy0IX",NA,NA,NA,NA,18,"gems-9"
"8","My Dying Bride","Your River",9.57,13.71,13.71,1.24,8.05,6.48,29.57,42,14.67,9.26,18.02,28.33,0.87,1.05,2.43,"6FMcHZ5FuBpPkD4IHVyrM9",NA,NA,NA,NA,23,"gems-9"
"9","Sara Bareilles","Undertow",28.68,22.91,28.36,43.36,37.41,30.95,20.27,7.41,10.77,32.15,25.61,9.09,0.86,1.36,3.27,"0tozhA4AZE7kDEvlcxCzP1",NA,NA,NA,NA,21,"gems-9"
"10","Anathema","Crestfallen",4.44,6.69,2.69,1.69,5.56,5,25.06,51.62,13.94,4.21,15.03,32.78,0.89,1.06,1.62,"3Ca1PahHy0AowFpNwHzJM2",NA,NA,NA,NA,15,"gems-9"
"11","Cobra Starship","One Day, Robots Will Cry",12.38,21.52,28.52,14.86,13.24,43.05,46.38,19.05,5,18.1,44.71,12.02,0.87,1.43,3.1,"76ohTRgQXmyTJrt8rgMbH2",NA,NA,NA,NA,21,"gems-9"
