,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,Youtube ID,genre,Path
0,The Thrillseekers,Synaesthesia (Fly Away) - Radio Edit,2,3,3,2,1,5,5,3,1,5QdgpcfAw8EbsupH0B6BpI,,electronic,tracks/5QdgpcfAw8EbsupH0B6BpI.mp3
1,Jorge Ben,Ponta de lanï¿½a africano (Umbabarauma),4,3,1,1,2,5,5,2,1,0jayFuH5lbwOOVeJnwDgGf,,jazz,tracks/0jayFuH5lbwOOVeJnwDgGf.mp3
2,Lamb,Heaven,2,3,4,2,2,2,4,2,2,0bjTW3zBohWdYy2z1Sf5hJ,,electronic,tracks/0bjTW3zBohWdYy2z1Sf5hJ.mp3
3,Milton Nascimento,Cais,2,2,2,3,4,1,1,2,3,1PVLHOm7WUbZMChq8JAFW9,,jazz,tracks/1PVLHOm7WUbZMChq8JAFW9.mp3
4,Kylie Minogue,Please Stay (7th District Radio Mix),2,2,2,1,2,5,5,3,1,5MqHbBqicUU0wyXwk7TJR7,,pop,tracks/5MqHbBqicUU0wyXwk7TJR7.mp3
5,Ace of Base,Lucky Love,4,3,5,2,3,5,5,2,1,2O5MugeVVDlVs4ThMCy1Lm,,pop,tracks/2O5MugeVVDlVs4ThMCy1Lm.mp3
6,Seal,Kiss From A Rose,4,4,5,5,5,4,4,2,2,3YKptz29AsOlm7WAVnztBh,,pop,tracks/3YKptz29AsOlm7WAVnztBh.mp3
7,Ashley Tisdale,Suddenly,4,4,4,5,5,2,3,1,4,6YD8kmD2SQw5uwQGFZ9W9n,,pop,tracks/6YD8kmD2SQw5uwQGFZ9W9n.mp3
8,Donny Hathaway,Someday We'll All Be Free,3,2,4,4,5,3,1,1,2,5J5rzvpYAQHlELldedLT9X,,funk_soul,tracks/5J5rzvpYAQHlELldedLT9X.mp3
9,Warning,Echoes,2,3,2,1,1,2,5,3,2,3GU59OzCMZvscGqSG4Lg0y,,rock,tracks/3GU59OzCMZvscGqSG4Lg0y.mp3
10,Busted,Over Now,3,2,5,3,2,4,4,2,4,70uvMWoagPhT9NeymzQxav,,rock,tracks/70uvMWoagPhT9NeymzQxav.mp3
11,George Michael,Careless Whisper,5,5,5,5,5,5,5,2,5,4jDmJ51x1o9NZB5Nxxc7gY,,pop,tracks/4jDmJ51x1o9NZB5Nxxc7gY.mp3
