Unnamed: 0,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,Youtube ID,genre,Path
549,Five for fighting,Easy Tonight,2,3,5,4,4,4,2,2,1,57PHqrPsX6E7OX9LeKSo9Q,UgkxM7QItiIp2cz1B295WAqIJIkGqlE7qAyn,pop,tracks/UgkxM7QItiIp2cz1B295WAqIJIkGqlE7qAyn.mp3
147,Nina Simone,That's All I Ask,4,3,5,5,4,2,3,1,5,5uI8omnLtzW4xTqJ5AoQtT,,jazz,tracks/5uI8omnLtzW4xTqJ5AoQtT.mp3
480,Tracy Chapman,Fast Car,4,3,5,5,5,3,1,1,2,2M9ro2krNb7nr7HSprkEgo,UgkxFYKP3k8jH6kNkXl5mgSK7Ag_DrqVs8C4,pop,tracks/UgkxFYKP3k8jH6kNkXl5mgSK7Ag_DrqVs8C4.mp3
428,Santigold,You'll Find A Way,5,3,2,1,2,5,5,4,1,1ZUj6t3goYbtWrCKFnwzIf,,electronic,tracks/1ZUj6t3goYbtWrCKFnwzIf.mp3
245,Eminem,Shake That,2,1,2,1,2,5,2,2,1,0fGh0trRN1xz3s41r7V5ce,WrjwGPb0Hvw?start=167,hip_hop,tracks/0fGh0trRN1xz3s41r7V5ce.mp3
601,The Moody Blues,Melancholy Man,3,4,3,2,3,4,5,3,2,1NeQzAqahRYI09bgLbhVFN,,rock,tracks/1NeQzAqahRYI09bgLbhVFN.mp3
600,Infected Mushroom,Here We Go Go Go,3,4,2,1,1,5,5,3,1,5wTudWQXd6Sjy6nH22fsYv,,electronic,tracks/5wTudWQXd6Sjy6nH22fsYv.mp3
608,Fall Out Boy,Get Busy Living or Get Busy Dying (Do Your Part to Save the Scene and Stop Going to Shows),2,3,1,2,1,5,5,3,1,4903HFfvLIQ8ujvQ0ARNGI,,rock,tracks/4903HFfvLIQ8ujvQ0ARNGI.mp3
632,Girls Aloud,I'll Stand by You,5,5,5,5,5,4,5,2,4,5AEAf1PGC0B6Z1iVE1j8oY,,pop,tracks/5AEAf1PGC0B6Z1iVE1j8oY.mp3
382,Beethoven,Sinfonie Nr. 7,2,3,5,3,5,1,2,1,2,,UgkxVWL1RdWZqv5Co5Obf6nvZUrtWrunrGeJ,classic,tracks/UgkxVWL1RdWZqv5Co5Obf6nvZUrtWrunrGeJ.mp3
667,Imogen Heap,Loose Ends,1,1,2,3,1,5,3,3,2,48Z9C1l1LfgpPxuQpfW2n6,,electronic,tracks/48Z9C1l1LfgpPxuQpfW2n6.mp3
318,Karma Fields,Build The Cities (feat. Kerli),1,2,1,1,1,4,5,4,1,50fO3coGeBVITFxiYlHSDs,,electronic,tracks/50fO3coGeBVITFxiYlHSDs.mp3
173,Salt-N-Pepa,Shoop,3,2,2,1,2,5,5,1,1,0Pu71wxadDlB8fJXfjIjeJ,UgkxI8XA0Ss2SLFsfghG7NqcNGfMsRxxpZYv,hip_hop,tracks/UgkxI8XA0Ss2SLFsfghG7NqcNGfMsRxxpZYv.mp3
641,Gnarls Barkley,Just a Thought,3,2,3,2,2,2,3,5,5,5xNUIReo5O6W1LRp2OKJty,,funk_soul,tracks/5xNUIReo5O6W1LRp2OKJty.mp3
121,Neurosis,Fear and Sickness,2,2,1,1,1,1,5,5,1,2sXYiWVdddj45DruzNKJGC,,rock,tracks/2sXYiWVdddj45DruzNKJGC.mp3
659,Madonna,He's a Man,1,1,2,2,2,2,3,2,2,4714JHYV5kiMKsuo8eP41E,,jazz,tracks/4714JHYV5kiMKsuo8eP41E.mp3
746,Jamie Woon,Shoulda,2,2,3,5,5,2,1,2,3,6I39hUKfIBsPBLX42jE3Dk,,electronic,tracks/6I39hUKfIBsPBLX42jE3Dk.mp3
49,The Whispers,And the Beat Goes On,4,2,4,3,4,5,4,2,1,7oQ1wkBmYSBEC2x7U08dvn,,funk_soul,tracks/7oQ1wkBmYSBEC2x7U08dvn.mp3
31,Sarah Vaughan,Misty,2,1,4,2,4,5,2,2,1,7gHFBNy0Qn86xGKJ9OdFTw,,jazz,tracks/7gHFBNy0Qn86xGKJ9OdFTw.mp3
364,Rachmaninow,"3. Klavierkonzert, 3. Satz",3,3,2,1,1,4,4,5,1,,UgkxtUia2ykcbGRBiNUvQhYOLsnIvm9IlsWW,classic,tracks/UgkxtUia2ykcbGRBiNUvQhYOLsnIvm9IlsWW.mp3
753,Savage Garden,Hold Me,2,1,4,3,2,3,3,1,1,5z7UgjxvvKBTf3qZMDvddZ,,pop,tracks/5z7UgjxvvKBTf3qZMDvddZ.mp3
408,Sly & The Family Stone,(You Caught Me) Smilin',1,1,3,2,3,4,3,2,2,5XTiyBLVLjqhAGRcJBUC5F,,funk_soul,tracks/5XTiyBLVLjqhAGRcJBUC5F.mp3
273,Dj Shadow,Building Steam With A Grain of Salt,2,2,1,1,2,3,2,5,1,4cucslsiEgezV2o900Ykg3,,hip_hop,tracks/4cucslsiEgezV2o900Ykg3.mp3
628,Eliane Elias,Time Alone,2,2,4,5,5,1,1,1,3,1hYd1uyB9HQpf4icjtBQoB,,jazz,tracks/1hYd1uyB9HQpf4icjtBQoB.mp3
277,Philanthrope,pueblo,2,3,4,3,5,2,1,1,1,3oYUtjjvbSxN40CQ71ZvTd,,hip_hop,tracks/3oYUtjjvbSxN40CQ71ZvTd.mp3
299,Air Supply,The One That You Love,3,3,4,5,3,3,2,1,4,3FDAd5vW4P7xe1GBNOLyfD,,rock,tracks/3FDAd5vW4P7xe1GBNOLyfD.mp3
698,Sia,Don't Bring Me Down,3,3,3,3,3,2,2,2,5,4XSBnZBRdrIQzbIvmysvuC,,electronic,tracks/4XSBnZBRdrIQzbIvmysvuC.mp3
116,Morcheeba,Rome Wasn't Built in a Day,4,3,5,5,5,4,3,2,2,6lsumzVFKP9SnfKcuGwqVp,,pop,tracks/6lsumzVFKP9SnfKcuGwqVp.mp3
639,"Earth, Wind & Fire",Let's Groove,5,4,5,5,4,5,5,2,1,3koCCeSaVUyrRo3N2gHrd8,,funk_soul,tracks/3koCCeSaVUyrRo3N2gHrd8.mp3
95,The Format,I'm Actual,3,3,5,4,2,3,4,2,3,2eHZ6UoAycNv99qKz4PVPg,,pop,tracks/2eHZ6UoAycNv99qKz4PVPg.mp3
373,Ravel,Bolï¿½ro,2,3,2,2,3,3,4,2,1,,UgkxIHGrjKJm-19dI7CqzycTYSj-Yi11Ex34,classic,tracks/UgkxIHGrjKJm-19dI7CqzycTYSj-Yi11Ex34.mp3
582,The Beatles,Let It Be,5,4,5,5,5,4,2,1,2,7iN1s7xHE4ifF5povM6A48,UgkxeQzl6iTLYXcapbCRDdFnu72hh36c4zrh,pop,tracks/7iN1s7xHE4ifF5povM6A48.mp3
677,Mayday Parade,Even Robots Need Blankets,3,3,5,5,3,4,3,1,2,1NivdSEUqwvnC6MzO8VZiG,,rock,tracks/1NivdSEUqwvnC6MzO8VZiG.mp3
555,Bon Jovi,Livin On A Prayer,4,2,4,1,2,5,5,2,1,37ZJ0p5Jm13JPevGcx4SkF,Ugkx1Hg6Vaur-0wpdBAYuTD9Axnx8hIk9Txb,pop,tracks/Ugkx1Hg6Vaur-0wpdBAYuTD9Axnx8hIk9Txb.mp3
703,Lykke Li,I Follow Rivers,3,3,2,4,5,5,4,2,2,4Jv7lweGIUOFQ7Oq2AtAh9,,pop,tracks/4Jv7lweGIUOFQ7Oq2AtAh9.mp3
62,Deee-Lite,Apple Juice Kissing,2,1,2,4,2,2,2,2,1,7fh5bhI5rzRBcSX9IKFNir,,electronic,tracks/7fh5bhI5rzRBcSX9IKFNir.mp3
518,Jeff Buckley,Hallelujah,5,5,5,5,5,2,1,1,4,3pRaLNL3b8x5uBOcsgvdqM,Ugkx3Nc814TcxO-G_AXns5Xue2NuEcobit8S,pop,tracks/Ugkx3Nc814TcxO-G_AXns5Xue2NuEcobit8S.mp3
527,OutKast,Roses,3,1,2,1,3,5,3,2,1,6bUNEbXT7HovLW6BgPCBsb,Ugkxi_bJRX4Fid-vQZze8VEWJCL281moKEan,pop,tracks/Ugkxi_bJRX4Fid-vQZze8VEWJCL281moKEan.mp3
486,Carlos Santana,Smooth,3,1,2,2,2,5,4,2,1,0n2SEXB2qoRQg171q7XqeW,Ugkxa9WPgW3Wr2q5p7RbL6ZNiDjGkWWpCEFk,pop,tracks/Ugkxa9WPgW3Wr2q5p7RbL6ZNiDjGkWWpCEFk.mp3
494,Black Eyed Peas,Just Can't Get Enough,2,2,3,2,3,4,2,1,1,3JA9Jsuxr4xgHXEawAdCp4,UgkxuQwwZ90ruj0orcBQAjAnFL3mkurIBlLs,pop,tracks/UgkxuQwwZ90ruj0orcBQAjAnFL3mkurIBlLs.mp3
721,Tok Tok Tok,Walk on the Wild Side,5,4,5,4,5,5,4,2,1,78G0LEqrs8HmEwhb75nYXQ,,jazz,tracks/78G0LEqrs8HmEwhb75nYXQ.mp3
350,Brahms,"Sonate Nr. 2 fï¿½r Klarinette, 1. Satz",3,4,5,5,5,3,1,1,1,,Ugkxm14v7zN8tkTO9rb9PQWL08fFY_zEkLRy,classic,tracks/Ugkxm14v7zN8tkTO9rb9PQWL08fFY_zEkLRy.mp3
622,Karrin Allyson,Moanin',4,3,4,3,5,5,2,2,1,2FcKhzTwtj5wKdri7bXBMK,,jazz,tracks/2FcKhzTwtj5wKdri7bXBMK.mp3
29,John Farnham,Age of Reason,3,2,3,2,3,4,3,2,1,3LQde40NABYOH14hWse0Yi,,rock,tracks/3LQde40NABYOH14hWse0Yi.mp3
54,Al Green,Let's Stay Together,4,4,5,5,5,5,3,1,1,63xdwScd1Ai1GigAwQxE8y,,funk_soul,tracks/63xdwScd1Ai1GigAwQxE8y.mp3
311,Sarah McLachlan,Elsewhere,3,2,5,5,5,1,1,1,5,1hBi66N1p1QyvFTHjnH2jv,,rock,tracks/1hBi66N1p1QyvFTHjnH2jv.mp3
404,Chris de Burgh,The Lady in Red,5,4,5,5,5,2,2,1,5,1GeNWyZtCHbcp3ZWp8GTOO,,rock,tracks/1GeNWyZtCHbcp3ZWp8GTOO.mp3
146,Phil Collins,Against All Odds (Take a Look at Me Now),5,3,5,5,5,3,3,1,3,63CHa6rmamv9OsehkRD8oz,,rock,tracks/63CHa6rmamv9OsehkRD8oz.mp3
442,OutKast,Hey Ya!,2,1,5,1,2,5,5,1,1,2PpruBYCo4H7WOBJ7Q2EwM,,funk_soul,tracks/2PpruBYCo4H7WOBJ7Q2EwM.mp3
525,Steely Dan,Do It Again,3,1,3,2,3,5,3,1,1,2BstRQGodshjGpeDGQiNgo,Ugkx3zDuvKgpZ8dufXa5tiAnYFUgRm-hcxQw,pop,tracks/Ugkx3zDuvKgpZ8dufXa5tiAnYFUgRm-hcxQw.mp3
669,Burial,Broken Home,1,2,2,1,2,1,2,5,1,69P4h7GB5xQlIU6v1Qv7GN,,electronic,tracks/69P4h7GB5xQlIU6v1Qv7GN.mp3
368,Vivaldi,Die 4 Jahreszeiten (Frï¿½hling),3,3,4,1,3,4,4,2,1,,UgkxYglz416a9J3po5WfsLRcI_YPLpPtQsdb,classic,tracks/UgkxYglz416a9J3po5WfsLRcI_YPLpPtQsdb.mp3
165,Duke Ellington,Sophisticated Lady,3,3,5,5,5,3,2,2,2,2ua1p76h5Yy2u3dVZ9Qb0l,,jazz,tracks/2ua1p76h5Yy2u3dVZ9Qb0l.mp3
80,MFSB,T.S.O.P. (The Sound Of Philadelphia),3,3,4,2,2,5,5,2,1,7kllQQPam6HumbUCIPSvHJ,,funk_soul,tracks/7kllQQPam6HumbUCIPSvHJ.mp3
414,Lily Allen,Smile,3,2,5,3,5,5,2,1,2,4aR9bPMAOFySBuQSbVWF3d,,pop,tracks/4aR9bPMAOFySBuQSbVWF3d.mp3
259,Dr. Dre,Nuthin' But A G thang,3,1,2,1,3,5,4,2,1,4YtoipFgf4k0AfD17ZfD5X,,hip_hop,tracks/4YtoipFgf4k0AfD17ZfD5X.mp3
9,Warning,Echoes,2,3,2,1,1,2,5,3,2,3GU59OzCMZvscGqSG4Lg0y,,rock,tracks/3GU59OzCMZvscGqSG4Lg0y.mp3
521,Taylor Swift,Look What You Made Me Do,2,2,1,2,1,5,5,3,1,1P17dC1amhFzptugyAO7Il,UgkxhNIkx010o6POamLFkc2AvaoO7G626kbK,pop,tracks/UgkxhNIkx010o6POamLFkc2AvaoO7G626kbK.mp3
