,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,path
0,The Thrillseekers,Synaesthesia (Fly Away) - Radio Edit,15.75,16.12,16.12,8.25,5.88,41.62,40.69,20.69,2.75,5QdgpcfAw8EbsupH0B6BpI,tracks/5QdgpcfAw8EbsupH0B6BpI.mp3
1,Jorge Ben,Ponta de lança africano (Umbabarauma),23.0,15.96,7.57,2.3,13.22,46.3,32.09,14.35,1.22,0jayFuH5lbwOOVeJnwDgGf,tracks/0jayFuH5lbwOOVeJnwDgGf.mp3
2,Lamb,Heaven,12.6,17.5,22.75,14.8,15.65,13.35,26.0,15.05,11.3,0bjTW3zBohWdYy2z1Sf5hJ,tracks/0bjTW3zBohWdYy2z1Sf5hJ.mp3
3,Milton Nascimento,Cais,13.41,7.82,13.47,19.94,25.59,1.82,5.18,8.35,16.88,1PVLHOm7WUbZMChq8JAFW9,tracks/1PVLHOm7WUbZMChq8JAFW9.mp3
4,Kylie Minogue,Please Stay (7th District Radio Mix),13.92,12.5,10.29,6.92,8.08,36.67,31.12,16.04,1.58,5MqHbBqicUU0wyXwk7TJR7,tracks/5MqHbBqicUU0wyXwk7TJR7.mp3
5,Ace of Base,Lucky Love,29.5,20.86,38.0,15.14,20.29,58.29,36.29,12.93,5.0,2O5MugeVVDlVs4ThMCy1Lm,tracks/2O5MugeVVDlVs4ThMCy1Lm.mp3
6,Seal,Kiss From A Rose,25.19,23.33,40.43,35.62,30.9,26.86,29.9,8.95,12.14,3YKptz29AsOlm7WAVnztBh,tracks/3YKptz29AsOlm7WAVnztBh.mp3
7,Ashley Tisdale,Suddenly,27.5,25.27,27.27,35.14,42.05,10.64,17.36,5.05,27.82,6YD8kmD2SQw5uwQGFZ9W9n,tracks/6YD8kmD2SQw5uwQGFZ9W9n.mp3
8,Donny Hathaway,Someday We'll All Be Free,21.3,10.75,27.85,28.25,43.6,18.75,7.15,4.6,7.85,5J5rzvpYAQHlELldedLT9X,tracks/5J5rzvpYAQHlELldedLT9X.mp3
9,Warning,Echoes,15.54,18.38,15.54,4.08,7.38,14.58,37.69,20.08,10.73,3GU59OzCMZvscGqSG4Lg0y,tracks/3GU59OzCMZvscGqSG4Lg0y.mp3
10,Busted,Over Now,17.84,12.08,34.72,21.44,10.8,24.04,25.8,13.16,23.16,70uvMWoagPhT9NeymzQxav,tracks/70uvMWoagPhT9NeymzQxav.mp3
11,George Michael,Careless Whisper,40.48,34.86,69.33,56.81,37.86,39.19,31.1,8.86,32.52,4jDmJ51x1o9NZB5Nxxc7gY,tracks/4jDmJ51x1o9NZB5Nxxc7gY.mp3
12,Hot Chocolate,You Sexy Thing,23.28,15.07,37.28,28.07,26.66,48.72,28.52,6.66,5.41,714hERk9U1W8FMYkoC83CO,tracks/714hERk9U1W8FMYkoC83CO.mp3
13,The Saturdays,Forever Is Over,15.93,17.4,17.47,9.4,7.27,29.53,37.13,11.4,8.93,6mSqWsqiv9LLPPKxrwh3yU,tracks/6mSqWsqiv9LLPPKxrwh3yU.mp3
14,Carpenters,We've Only Just Begun,28.38,16.72,50.72,43.28,46.03,29.45,7.34,2.28,8.14,3m167vBQI5YLK0a1m6L6Y1,tracks/3m167vBQI5YLK0a1m6L6Y1.mp3
