,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Sublimity,Vitality,Unease,ICC,Familiarity,Liking,Spotify ID,Youtube Clip,Youtube ID,Youtube Start-Time,Youtube End-Time,Path,genre
0,0,0,1,The Thrillseekers,Synaesthesia (Fly Away) - Radio Edit,15.75,16.12,16.12,8.25,5.88,41.62,40.69,20.69,2.75,12.43,41.16,11.72,0.83,1.12,2.44,5QdgpcfAw8EbsupH0B6BpI,,,,,tracks/5QdgpcfAw8EbsupH0B6BpI.mp3,electronic
1,1,1,2,Jorge Ben,Ponta de lanï¿½a africano (Umbabarauma),23.0,15.96,7.57,2.3,13.22,46.3,32.09,14.35,1.22,12.41,39.2,7.78,0.93,1.09,2.78,0jayFuH5lbwOOVeJnwDgGf,,,,,tracks/0jayFuH5lbwOOVeJnwDgGf.mp3,jazz
2,2,2,3,Lamb,Heaven,12.6,17.5,22.75,14.8,15.65,13.35,26.0,15.05,11.3,16.66,19.68,13.18,-0.37,1.3,2.45,0bjTW3zBohWdYy2z1Sf5hJ,,,,,tracks/0bjTW3zBohWdYy2z1Sf5hJ.mp3,electronic
3,3,3,4,Milton Nascimento,Cais,13.41,7.82,13.47,19.94,25.59,1.82,5.18,8.35,16.88,16.05,3.5,12.62,0.67,1.12,2.35,1PVLHOm7WUbZMChq8JAFW9,,,,,tracks/1PVLHOm7WUbZMChq8JAFW9.mp3,jazz
4,4,4,5,Kylie Minogue,Please Stay (7th District Radio Mix),13.92,12.5,10.29,6.92,8.08,36.67,31.12,16.04,1.58,10.34,33.9,8.81,0.89,1.04,2.5,5MqHbBqicUU0wyXwk7TJR7,,,,,tracks/5MqHbBqicUU0wyXwk7TJR7.mp3,pop
5,5,5,6,Ace of Base,Lucky Love,29.5,20.86,38.0,15.14,20.29,58.29,36.29,12.93,5.0,24.76,47.29,8.96,0.91,1.36,2.86,2O5MugeVVDlVs4ThMCy1Lm,,,,,tracks/2O5MugeVVDlVs4ThMCy1Lm.mp3,pop
6,6,6,7,Seal,Kiss From A Rose,25.19,23.33,40.43,35.62,30.9,26.86,29.9,8.95,12.14,31.1,28.38,10.55,0.82,3.33,3.67,3YKptz29AsOlm7WAVnztBh,,,,,tracks/3YKptz29AsOlm7WAVnztBh.mp3,pop
7,7,7,8,Ashley Tisdale,Suddenly,27.5,25.27,27.27,35.14,42.05,10.64,17.36,5.05,27.82,31.45,14.0,16.43,0.82,1.59,2.86,6YD8kmD2SQw5uwQGFZ9W9n,,,,,tracks/6YD8kmD2SQw5uwQGFZ9W9n.mp3,pop
8,8,8,9,Donny Hathaway,Someday We'll All Be Free,21.3,10.75,27.85,28.25,43.6,18.75,7.15,4.6,7.85,26.35,12.95,6.22,0.9,1.3,2.7,5J5rzvpYAQHlELldedLT9X,,,,,tracks/5J5rzvpYAQHlELldedLT9X.mp3,funk_soul
9,9,9,10,Warning,Echoes,15.54,18.38,15.54,4.08,7.38,14.58,37.69,20.08,10.73,12.18,26.13,15.4,0.82,1.12,2.62,3GU59OzCMZvscGqSG4Lg0y,,,,,tracks/3GU59OzCMZvscGqSG4Lg0y.mp3,rock
10,10,10,11,Busted,Over Now,17.84,12.08,34.72,21.44,10.8,24.04,25.8,13.16,23.16,19.38,24.92,18.16,0.62,1.48,2.92,70uvMWoagPhT9NeymzQxav,,,,,tracks/70uvMWoagPhT9NeymzQxav.mp3,rock
11,11,11,12,George Michael,Careless Whisper,40.48,34.86,69.33,56.81,37.86,39.19,31.1,8.86,32.52,47.87,35.14,20.69,0.88,4.57,4.38,4jDmJ51x1o9NZB5Nxxc7gY,,,,,tracks/4jDmJ51x1o9NZB5Nxxc7gY.mp3,pop
12,12,12,13,Hot Chocolate,You Sexy Thing,23.28,15.07,37.28,28.07,26.66,48.72,28.52,6.66,5.41,26.07,38.62,6.03,0.91,2.69,3.31,714hERk9U1W8FMYkoC83CO,,,,,tracks/714hERk9U1W8FMYkoC83CO.mp3,funk_soul
13,13,13,14,The Saturdays,Forever Is Over,15.93,17.4,17.47,9.4,7.27,29.53,37.13,11.4,8.93,13.49,33.33,10.17,0.73,1.2,2.27,6mSqWsqiv9LLPPKxrwh3yU,,,,,tracks/6mSqWsqiv9LLPPKxrwh3yU.mp3,pop
14,14,14,15,Carpenters,We've Only Just Begun,28.38,16.72,50.72,43.28,46.03,29.45,7.34,2.28,8.14,37.03,18.4,5.21,0.95,2.41,3.28,3m167vBQI5YLK0a1m6L6Y1,,,,,tracks/3m167vBQI5YLK0a1m6L6Y1.mp3,pop
15,15,15,16,Jam & Spoon,Right in the Night (Fall in Love With Music),20.92,29.33,23.33,19.33,22.58,40.83,33.25,11.58,8.33,23.1,37.04,9.96,0.71,1.75,3.25,6x6G0shZs4Qg4YLfLbhR7z,,,,,tracks/6x6G0shZs4Qg4YLfLbhR7z.mp3,electronic
16,16,16,17,Novos Baianos,Curto De Vï¿½u E Grinalda,13.47,12.68,9.68,7.16,7.0,33.68,38.84,18.21,2.26,10.0,36.26,10.24,0.89,1.21,2.37,7rFNyShNdXvg4j6qK9lBSC,,,,,tracks/7rFNyShNdXvg4j6qK9lBSC.mp3,funk_soul
17,17,17,18,Bjï¿½rk,Possibly Maybe (Live),14.75,13.3,13.45,20.65,20.9,11.4,4.45,18.1,17.45,16.61,7.92,17.77,0.27,1.25,1.95,4SngFKTnu9FbOldhGvHUlG,,,,,tracks/4SngFKTnu9FbOldhGvHUlG.mp3,electronic
18,18,18,19,Cult of Luna,Finland,10.85,20.15,5.15,2.77,10.46,12.15,44.23,50.77,10.46,9.88,28.19,30.62,0.88,1.08,2.31,3N8cK1O5u0RawDBbP4a0hc,,,,,tracks/3N8cK1O5u0RawDBbP4a0hc.mp3,rock
