,Unnamed: 0,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,genre
0,1,The Thrillseekers,Synaesthesia (Fly Away) - Radio Edit,15.75,16.12,16.12,8.25,5.88,41.62,40.69,20.69,2.75,5QdgpcfAw8EbsupH0B6BpI,electronic
1,2,Jorge Ben,Ponta de lança africano (Umbabarauma),23.0,15.96,7.57,2.3,13.22,46.3,32.09,14.35,1.22,0jayFuH5lbwOOVeJnwDgGf,jazz
2,3,Lamb,Heaven,12.6,17.5,22.75,14.8,15.65,13.35,26.0,15.05,11.3,0bjTW3zBohWdYy2z1Sf5hJ,electronic
3,4,Milton Nascimento,Cais,13.41,7.82,13.47,19.94,25.59,1.82,5.18,8.35,16.88,1PVLHOm7WUbZMChq8JAFW9,jazz
4,5,Kylie Minogue,Please Stay (7th District Radio Mix),13.92,12.5,10.29,6.92,8.08,36.67,31.12,16.04,1.58,5MqHbBqicUU0wyXwk7TJR7,pop
5,6,Ace of Base,Lucky Love,29.5,20.86,38.0,15.14,20.29,58.29,36.29,12.93,5.0,2O5MugeVVDlVs4ThMCy1Lm,pop
6,7,Seal,Kiss From A Rose,25.19,23.33,40.43,35.62,30.9,26.86,29.9,8.95,12.14,3YKptz29AsOlm7WAVnztBh,pop
7,8,Ashley Tisdale,Suddenly,27.5,25.27,27.27,35.14,42.05,10.64,17.36,5.05,27.82,6YD8kmD2SQw5uwQGFZ9W9n,pop
8,9,Donny Hathaway,Someday We'll All Be Free,21.3,10.75,27.85,28.25,43.6,18.75,7.15,4.6,7.85,5J5rzvpYAQHlELldedLT9X,funk_soul
9,10,Warning,Echoes,15.54,18.38,15.54,4.08,7.38,14.58,37.69,20.08,10.73,3GU59OzCMZvscGqSG4Lg0y,rock
10,11,Busted,Over Now,17.84,12.08,34.72,21.44,10.8,24.04,25.8,13.16,23.16,70uvMWoagPhT9NeymzQxav,rock
11,12,George Michael,Careless Whisper,40.48,34.86,69.33,56.81,37.86,39.19,31.1,8.86,32.52,4jDmJ51x1o9NZB5Nxxc7gY,pop
12,13,Hot Chocolate,You Sexy Thing,23.28,15.07,37.28,28.07,26.66,48.72,28.52,6.66,5.41,714hERk9U1W8FMYkoC83CO,funk_soul
13,14,The Saturdays,Forever Is Over,15.93,17.4,17.47,9.4,7.27,29.53,37.13,11.4,8.93,6mSqWsqiv9LLPPKxrwh3yU,pop
14,15,Carpenters,We've Only Just Begun,28.38,16.72,50.72,43.28,46.03,29.45,7.34,2.28,8.14,3m167vBQI5YLK0a1m6L6Y1,pop
15,16,Jam & Spoon,Right in the Night (Fall in Love With Music),20.92,29.33,23.33,19.33,22.58,40.83,33.25,11.58,8.33,6x6G0shZs4Qg4YLfLbhR7z,electronic
16,17,Novos Baianos,Curto De Véu E Grinalda,13.47,12.68,9.68,7.16,7.0,33.68,38.84,18.21,2.26,7rFNyShNdXvg4j6qK9lBSC,funk_soul
17,18,Björk,Possibly Maybe (Live),14.75,13.3,13.45,20.65,20.9,11.4,4.45,18.1,17.45,4SngFKTnu9FbOldhGvHUlG,electronic
18,19,Cult of Luna,Finland,10.85,20.15,5.15,2.77,10.46,12.15,44.23,50.77,10.46,3N8cK1O5u0RawDBbP4a0hc,rock
19,20,IU,The red shoes,27.62,19.38,18.75,15.19,11.31,49.75,41.69,18.94,0.94,3atsk5EWI5fNxLMIJnfYfJ,jazz
20,21,Zero 7,In the Waiting Line,19.79,16.14,26.36,31.5,42.21,25.21,10.0,8.64,9.86,5ARrtxJLVCeTv5TWo1oKgC,electronic
21,22,Jorge Ben Jor,"Mas, Que Nada!",22.36,25.86,36.93,31.57,42.29,31.93,13.29,13.57,12.21,6U03Orwr5Dxt8jahLnQpYV,jazz
22,23,Bobby Caldwell,Open Your Eyes,15.81,14.44,42.44,31.06,40.88,38.88,21.12,5.62,3.56,1Yrgyxebkguu4MGFkDoINo,jazz
23,24,Fiona Apple,The First Taste,19.85,22.69,26.38,32.62,38.77,15.27,14.35,7.81,21.08,21Xc8hEIzv81jwiftI4hJB,jazz
24,25,Tamar Braxton,Sound of Love,11.82,8.29,7.29,7.47,8.12,10.41,14.29,35.88,11.76,1QSNwan8EvZeJhuDag0aqX,funk_soul
25,26,Céline Dion,Je crois toi,28.93,28.71,26.57,41.0,30.36,6.5,12.5,13.14,29.14,3CehtvHVAVPaaukPIIL67r,pop
26,27,Submotion Orchestra,Variations,10.39,7.39,6.44,25.33,33.83,4.28,2.39,5.83,6.94,3qzxORCDY3UpbvT7p7WYIE,electronic
27,28,Rilo Kiley,It Just Is,34.06,16.88,38.69,22.81,27.5,14.69,13.62,5.25,32.62,26tR002TUAcmtfBLR7hVnS,pop
