Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Sadness,Power,Tension
70,60,50,80,70,60,30,40,20
70,60,50,80,70,60,50,80,60
70,60,80,70,50,40,60,80,50
70,60,50,40,30,20,10,0,0
80,70,50,60,40,90,20,60,30
70,60,50,40,30,20,10,0,0
80,70,60,50,40,30,20,10,0
70,60,50,80,70,60,30,40,20
70,60,50,40,30,20,10,0,0
70,60,50,60,70,50,30,40,20
70,60,50,40,30,20,10,0,0
70,60,50,40,30,20,10,0,0
70,60,50,40,30,20,10,20,30
80,70,60,50,40,30,20,10,0
70,60,50,80,70,60,30,40,20
80,70,50,60,70,40,30,50,20
80,70,60,50,40,30,20,10,0
80,70,60,70,60,50,40,30,20
80,70,50,60,70,40,30,50,20
70,60,50,40,30,20,10,20,30
70,60,50,40,30,20,10,0,0
80,70,60,50,40,30,20,10,0
70,60,50,60,50,70,30,60,40
70,60,50,40,30,20,10,0,0
80,70,60,50,40,30,20,10,0
70,60,50,40,30,80,20,50,30
70,60,50,40,30,20,10,0,0
70,60,50,40,30,20,10,0,0
80,70,50,30,20,10,0,80,60
80,70,50,60,40,70,30,60,40
