Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Sadness,Power,Tension
None,None,None,None,None,None,None,None,None
95,85,75,65,80,70,50,40,30
90,85,75,65,80,70,50,95,10
95,85,70,65,80,90,40,70,30
None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None
100,100,100,100,100,100,100,100,70
95,85,70,65,75,80,45,30,20
95,85,70,80,90,80,60,70,40
95,85,70,80,90,60,40,30,20
None,None,None,None,None,None,None,None,None
85,90,75,80,95,80,70,85,90
90,85,75,65,80,95,70,80,40
85,70,60,90,75,80,40,30,20
90,85,70,65,80,95,50,75,30
95,85,70,65,80,90,50,75,30
90,85,75,65,80,70,50,40,30
90,85,70,65,80,75,50,40,30
95,85,70,65,80,90,50,75,30
90,85,70,60,80,95,50,75,30
85,75,65,95,70,80,50,45,30
90,85,70,65,80,75,50,40,30
90,85,75,65,80,70,50,80,40
90,85,70,65,75,80,40,50,30
None,None,50,70,80,60,40,90,30
100,100,100,100,100,100,100,100,75
95,85,75,65,90,80,70,80,40
100,None,90,None,80,70,60,None,50
90,85,70,65,80,75,50,95,40
90,85,70,65,80,95,50,75,30
