Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Sadness,Power,Tension
5,4,3,4,4,4,2,3,1
5,5,4,5,5,5,4,4,3
5,5,4,5,5,5,3,4,2
5,5,4,5,5,5,3,4,2
5,5,4,5,5,5,4,4,3
5,5,2,5,5,5,2,2,2
5,4,3,4,4,4,2,3,1
5,5,4,5,5,5,3,4,2
5,5,4,5,5,4,3,4,2
5,5,4,5,5,5,3,4,3
5,5,4,5,5,5,3,4,3
5,5,4,5,5,5,3,4,2
5,5,4,5,5,5,4,4,3
5,5,4,5,5,5,3,4,1
5,5,4,3,5,4,4,4,2
5,5,4,5,5,5,3,4,2
5,5,4,5,5,5,3,4,2
5,5,4,4,5,5,3,4,2
5,4,4,4,5,4,3,3,2
5,4,4,5,5,4,3,4,2
5,5,4,5,5,5,3,4,1
5,4,4,5,5,4,3,4,2
5,5,4,5,5,5,3,4,2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,5,4,5,5,5,3,4,2
5,4,3,4,4,3,2,3,1
5,5,4,5,5,4,3,4,2
5,5,4,5,5,5,3,4,2
5,5,4,5,5,4,3,4,2
5,4,4,4,5,4,3,3,2
