Row,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Sadness,Power,Tension
1,2,2,2,2,2,4,1,4,3
2,2,2,2,2,2,5,1,4,2
3,2,2,2,2,2,4,1,3,2
4,2,2,2,2,2,4,1,3,3
5,2,2,2,2,2,4,1,3,2
6,2,2,2,2,2,5,1,5,3
7,2,2,2,2,2,5,1,4,2
8,2,2,2,2,2,4,1,3,2
9,2,2,2,2,2,2,2,3,5
10,2,2,2,2,2,4,1,4,3
11,2,2,2,2,2,4,1,3,4
12,2,2,2,2,2,5,1,5,4
13,2,2,2,2,2,5,1,4,2
14,2,2,2,2,2,5,1,5,3
15,2,2,2,2,2,4,1,4,3
16,2,2,2,2,2,4,1,3,3
17,2,2,2,2,2,5,1,5,3
18,2,2,2,2,2,4,1,4,2
19,2,2,2,2,2,4,1,3,2
20,2,2,2,2,2,4,1,3,2
21,2,2,2,2,2,4,1,3,2
22,2,2,2,2,2,4,1,3,2
23,2,2,2,2,2,4,1,4,3
24,2,2,2,2,2,4,1,4,3
25,2,2,2,2,2,5,1,5,3
26,2,2,2,2,2,4,1,4,2
27,2,2,2,2,2,4,1,4,3
28,2,2,2,2,2,4,1,3,2
29,2,2,2,2,2,4,1,4,3
30,2,2,2,2,2,4,1,3,2
31,2,2,2,2,2,4,1,4,2
32,2,2,2,2,2,4,1,3,2
33,2,2,2,2,2,4,1,3,3
34,2,2,2,2,2,4,1,4,2
35,2,2,2,2,2,4,1,4,2
36,2,2,2,2,2,5,1,5,3
37,2,2,2,2,2,5,1,5,3
38,2,2,2,2,2,4,1,4,2
39,2,2,2,2,2,5,1,4,2
40,2,2,2,2,2,5,1,5,3
41,2,2,2,2,2,5,1,5,3
42,2,2,2,2,2,5,1,5,3
43,2,2,2,2,2,5,1,5,2
44,2,2,2,2,2,5,1,5,2
45,2,2,2,2,2,5,1,4,2
46,2,2,2,2,2,5,1,5,4
47,2,2,2,2,2,5,1,4,2
48,2,2,2,2,2,4,1,4,2
49,2,2,2,2,2,4,1,3,2
50,2,2,2,2,2,4,1,3,2
51,2,2,2,1,1,2,2,4,5
52,2,2,2,2,2,5,1,5,3
53,2,2,2,2,2,4,1,4,3
54,2,2,2,2,2,4,1,4,2
55,2,2,2,2,2,4,1,3,2
56,2,2,2,2,2,4,1,4,3
57,2,2,2,2,2,5,1,4,2
58,2,2,2,2,2,4,1,4,2
59,2,2,2,2,2,5,1,5,3
60,2,2,2,2,2,5,1,5,3
61,2,2,2,2,2,4,1,3,2
62,2,2,2,2,2,5,1,4,2
63,2,2,2,2,2,4,1,4,2
64,2,2,2,2,2,5,1,5,3
65,2,2,2,2,2,4,1,3,2
66,2,2,2,2,2,4,1,3,3
67,2,2,2,2,2,5,1,5,4
68,2,2,2,2,2,4,1,4,3
69,2,2,2,2,2,5,1,5,3
70,2,2,2,2,2,4,1,4,3
71,2,2,2,2,2,4,1,4,3
72,2,2,2,2,2,4,1,4,2
73,2,2,2,2,2,4,1,4,3
74,2,2,2,2,2,4,1,4,3
75,2,2,2,2,2,5,1,4,2
76,2,2,2,2,2,5,1,5,3
77,2,2,2,2,2,5,1,4,2
78,2,2,2,2,2,5,1,4,2
79,2,2,2,2,2,4,1,4,2
80,2,2,2,2,2,4,1,3,2
81,2,2,2,2,2,4,1,3,2
82,2,2,2,2,2,4,1,4,3
83,2,2,2,2,2,5,1,5,3
84,2,2,2,2,2,4,1,4,3
85,2,2,2,2,2,4,1,4,2
86,2,2,2,2,2,5,1,5,3
87,2,2,2,2,2,4,1,4,2
88,2,2,2,2,2,4,1,3,2
89,2,2,2,2,2,4,1,4,2
90,2,2,2,2,2,5,1,5,3
91,2,2,2,2,2,5,1,5,3
92,2,2,2,2,2,4,1,3,2
93,2,2,2,2,2,4,1,3,2
94,2,2,2,2,2,5,1,5,3
95,2,2,2,2,2,5,1,5,3
96,2,2,2,2,2,4,1,4,3
97,2,2,2,2,2,5,1,5,2
98,2,2,2,2,2,4,1,4,2
99,2,2,2,2,2,4,1,4,3
100,2,2,2,2,2,4,1,4,3
101,2,2,2,2,2,4,1,3,4
102,2,2,2,2,2,4,1,4,3
103,2,2,2,2,2,2,2,2,5
104,2,2,2,2,2,4,1,4,2
105,2,2,2,2,2,5,1,5,2
106,2,2,2,2,2,4,1,4,3
107,2,2,2,2,2,5,1,4,2
108,2,2,2,2,2,4,1,4,3
109,2,2,2,2,2,4,1,4,2
110,2,2,2,2,2,4,1,3,4
111,2,2,2,2,2,5,1,5,3
112,2,2,2,2,2,2,2,2,4
113,2,2,2,2,2,4,1,2,2
114,2,2,2,2,2,4,1,3,2
115,2,2,2,2,2,4,1,3,4
