,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness
1,4,2,1,2.0,2,4,3,3,1
2,4,3,3,2.0,1,1,4,2,3
3,4,4,3,3.0,2,2,1,1,2
4,2,3,3,3.0,4,2,2,1,1
5,3,2,3,2.0,4,1,1,1,1
6,4,3,2,2.0,1,3,4,2,1
7,3,3,2,1.0,2,4,2,1,1
8,4,3,2,3.0,4,2,2,1,1
9,3,3,2,2.0,1,1,1,2,4
10,3,4,3,2.0,1,2,4,2,3
11,3,4,2,2.0,3,2,4,1,1
12,2,3,2,1.0,1,1,4,4,2
13,4,3,2,3.0,2,2,3,2,1
14,3,4,2,2.0,2,3,4,1,1
15,2,2,1,1.0,1,1,4,3,1
16,4,3,2,2.0,2,1,4,1,1
17,4,3,2,3.0,2,5,4,2,1
18,2,3,2,2.0,2,2,3,2,2
19,3,2,3,2.0,2,2,4,1,1
20,3,3,4,3.0,3,2,2,2,4
21,5,4,3,2.0,3,1,1,2,4
22,2,2,2,2.0,2,2,2,2,2
23,2,2,2,3.0,2,1,1,2,3
24,2,1,4,3.0,2,2,1,2,4
25,4,4,1,1.0,1,4,4,1,1
26,4,3,2,2.0,3,2,3,2,2
27,3,3,2,2.0,3,1,2,2,1
28,4,4,2,3.0,3,2,1,2,1
29,2,1,2,2.0,3,1,1,3,4
30,3,2,2,2.0,2,3,1,1,1
31,3,3,2,1.0,1,1,4,2,2
32,2,3,2,3.0,3,1,1,1,4
33,4,3,4,1.0,3,2,2,1,2
34,3,3,2,2.0,3,2,4,2,2
35,2,1,3,2.0,2,4,4,3,1
36,1,4,3,2.0,1,2,5,4,3
37,3,3,2,2.0,3,1,2,1,1
38,3,3,2,1.0,2,2,4,2,1
39,3,4,3,1.0,1,2,4,2,1
40,4,3,1,2.0,1,4,3,2,1
41,2,2,2,1.0,1,4,4,3,1
42,2,2,2,2.0,2,2,2,2,2
43,3,3,2,2.0,2,4,4,1,1
44,3,2,2,1.0,1,4,4,1,1
45,3,3,2,2.0,2,3,4,2,1
46,3,2,1,1.0,1,2,4,4,1
47,3,3,3,1.0,2,2,2,1,1
48,3,3,3,2.0,2,2,2,2,2
49,2,3,1,1.0,1,2,4,2,1
50,2,2,3,2.0,3,1,1,1,1
51,3,3,1,1.0,1,2,4,4,1
52,3,4,2,1.0,2,2,5,4,1
53,4,4,3,2.0,3,1,5,2,2
54,3,4,2,3.0,2,2,3,2,1
55,3,3,4,3.0,4,1,1,1,2
56,3,2,3,1.0,1,1,4,1,2
57,3,4,2,3.0,4,2,2,1,2
58,4,4,3,3.0,2,2,5,2,3
59,3,3,2,1.0,1,4,4,2,1
60,2,1,2,1.0,1,1,4,3,1
61,2,2,3,2.0,2,1,2,1,3
62,3,3,1,2.0,2,4,2,1,1
63,2,1,3,3.0,2,4,2,1,1
64,2,2,2,2.0,2,2,2,2,2
65,3,4,2,3.0,4,2,1,1,2
66,3,3,2,2.0,2,3,2,2,2
67,3,4,1,1.0,2,2,5,4,1
68,3,3,2,1.0,2,4,5,4,1
69,3,3,2,2.0,1,2,4,4,1
70,3,2,2,2.0,2,1,3,2,3
71,2,2,3,2.0,2,2,2,2,3
72,5,3,2,4.0,3,4,2,2,1
73,2,2,2,2.0,2,2,2,2,2
74,3,4,2,3.0,4,1,2,1,1
75,3,3,4,4.0,2,2,1,1,1
76,4,3,2,2.0,2,3,4,1,1
77,4,4,2,3.0,3,2,3,1,1
78,3,3,2,1.0,2,2,4,1,1
79,4,4,2,2.0,2,2,4,2,2
80,4,2,4,3.0,3,2,1,1,4
81,4,2,4,3.0,3,2,2,1,3
82,3,4,3,2.0,1,1,5,4,2
83,2,2,2,,2,2,4,4,2
84,3,3,2,1.0,2,1,4,1,2
85,5,4,4,2.0,2,3,4,2,3
86,3,2,1,2.0,2,4,4,2,1
87,3,2,4,3.0,4,2,3,2,2
88,3,3,3,3.0,2,2,2,2,3
89,4,4,3,1.0,3,1,3,1,2
90,4,3,3,2.0,2,3,4,2,1
91,2,2,1,1.0,1,1,4,4,3
92,4,3,1,2.0,2,3,4,2,1
93,2,2,2,2.0,3,1,3,1,3
94,3,2,1,1.0,1,4,4,1,1
95,3,3,2,1.0,1,4,4,2,1
96,3,3,2,2.0,2,2,4,4,3
97,3,2,1,2.0,1,4,3,1,1
98,4,3,1,1.0,2,2,4,2,3
99,3,2,3,4.0,3,1,1,2,4
100,3,3,2,2.0,2,2,4,3,2
101,2,2,3,3.0,2,1,1,1,2
102,4,4,3,3.0,2,2,3,2,2
103,3,4,2,4.0,3,1,1,1,2
104,4,4,2,3.0,2,3,1,1,1
105,5,4,3,3.0,2,5,4,2,1
106,3,4,2,2.0,1,2,4,3,1
107,3,2,2,1.0,1,4,3,2,1
108,1,1,2,1.0,1,1,3,3,2
109,3,1,2,3.0,4,2,3,1,2
110,3,2,3,2.0,3,1,2,1,1
111,2,3,3,4.0,2,3,4,2,1
112,3,4,2,3.0,1,1,2,2,4
113,4,3,3,2.0,5,1,1,1,2
114,3,2,3,3.0,3,2,2,2,2
115,4,4,3,2.0,1,1,2,2,3
