Row,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Sadness,Power,Tension
1,4,2,2,2,3,5,1,2,2
2,4,4,4,3,3,3,3,4,2
3,4,3,5,5,5,2,4,1,1
4,4,2,3,2,3,5,1,4,2
5,4,3,5,5,5,2,4,1,1
6,4,3,3,2,2,5,1,5,2
7,4,2,4,2,2,5,1,5,2
8,4,3,5,5,5,2,3,1,1
9,4,3,5,5,5,1,5,1,1
10,4,2,4,3,3,5,1,3,2
11,4,5,3,2,2,2,4,5,4
12,2,2,1,1,1,1,4,5,5
13,4,2,2,2,2,5,1,4,2
14,4,3,4,3,4,5,1,4,2
15,2,2,2,1,1,4,1,5,5
16,4,3,3,2,3,5,1,5,2
17,4,2,3,2,2,5,1,4,2
18,4,3,1,1,2,5,1,4,2
19,4,2,5,5,4,3,3,2,1
20,4,2,5,5,4,2,4,1,1
21,4,3,5,5,5,2,1,1,1
22,4,3,5,5,5,3,2,1,1
23,2,2,2,2,2,4,1,4,3
24,4,2,5,5,4,3,4,1,1
25,4,2,4,1,2,5,1,5,2
26,4,2,4,2,3,5,1,4,2
27,4,4,4,4,5,2,1,1,1
28,4,3,5,5,5,3,3,2,1
29,2,2,2,1,1,2,2,4,5
30,4,3,5,5,5,3,2,1,1
31,4,4,5,5,5,3,2,2,1
32,4,3,5,5,4,2,5,2,1
33,4,2,5,4,5,5,1,2,1
34,4,2,4,1,3,5,1,4,2
35,4,2,2,1,2,5,1,4,2
36,2,2,2,1,1,3,1,5,4
37,2,2,1,1,1,2,1,5,5
38,4,2,1,1,3,5,1,3,2
39,2,2,1,1,1,4,1,5,5
40,4,2,5,2,2,5,1,5,2
41,2,1,1,1,1,5,1,5,4
42,2,1,2,1,2,5,1,3,3
43,4,2,5,4,3,5,1,5,1
44,4,2,5,3,2,5,1,4,2
45,4,2,5,5,4,5,1,3,1
46,2,2,1,1,1,5,1,5,5
47,4,4,5,5,5,3,2,2,1
48,3,2,1,1,2,5,1,4,2
49,4,3,1,1,2,5,1,5,4
50,4,4,5,5,5,3,1,1,1
51,4,3,1,1,2,5,1,5,3
52,4,5,2,1,2,4,1,5,5
53,2,2,1,1,1,2,2,5,5
54,4,2,5,5,4,3,2,1,1
55,2,2,2,2,4,2,1,1,2
56,4,3,4,1,2,5,1,5,2
57,4,4,4,3,3,5,1,5,2
58,4,2,5,5,4,4,2,2,1
59,4,3,5,2,2,5,2,5,2
60,2,1,1,1,2,5,1,3,4
61,4,2,5,5,4,5,1,4,1
62,4,2,3,2,4,5,1,3,1
63,4,2,5,5,4,5,1,3,1
64,4,2,4,3,3,5,1,4,2
65,4,3,5,5,5,2,2,1,1
66,4,2,5,5,4,3,3,2,1
67,2,2,1,1,1,1,2,5,5
68,2,1,1,1,2,5,1,2,3
69,4,2,3,1,2,5,1,5,2
70,4,2,5,5,4,3,4,2,1
71,4,3,5,5,5,1,5,1,1
72,4,2,5,5,4,5,1,3,1
73,2,2,1,1,1,5,1,5,5
74,4,4,5,5,5,1,4,1,1
75,4,2,5,5,4,5,1,3,1
76,3,2,4,2,3,5,1,3,2
77,4,4,3,2,2,5,1,5,2
78,4,2,5,5,5,2,4,1,1
79,4,2,4,3,4,5,1,3,1
80,4,2,5,5,5,2,5,1,1
81,4,3,5,5,5,2,5,2,1
82,2,2,2,1,1,5,1,5,4
83,2,2,1,1,1,4,1,5,5
84,4,3,5,5,5,2,5,1,1
85,4,2,5,5,5,2,4,1,1
86,4,2,2,2,2,5,1,5,2
87,4,3,5,5,5,2,2,1,1
88,4,3,5,5,5,2,4,1,1
89,5,5,2,2,2,5,1,5,2
90,4,3,5,4,3,4,2,4,2
91,4,2,2,1,2,5,1,5,3
92,2,1,1,1,2,5,1,2,2
93,4,3,5,5,5,2,5,2,1
94,4,2,4,2,2,5,1,5,2
95,2,1,2,1,1,5,1,4,2
96,4,3,2,1,2,5,1,4,2
97,5,2,3,1,2,5,1,5,2
98,2,2,2,1,2,3,1,2,4
99,4,3,5,5,5,2,4,2,1
100,4,2,5,3,4,5,1,3,1
101,4,3,5,5,5,2,5,2,1
102,4,2,4,3,3,5,1,4,1
103,4,3,5,5,5,2,2,1,1
104,4,3,5,3,3,5,1,4,1
105,4,2,5,2,2,5,1,4,1
106,4,2,3,2,2,5,1,3,2
107,4,2,5,2,2,5,1,5,2
108,2,2,1,1,2,4,1,3,5
109,4,2,2,2,2,5,1,4,2
110,4,3,5,5,5,2,4,1,1
111,4,2,5,5,4,5,1,4,1
112,4,4,5,5,5,2,2,1,1
113,5,4,5,5,5,2,2,1,1
114,4,3,5,5,5,2,2,1,1
115,4,4,5,5,5,2,4,2,1
