Column1;Artist;Title;Year;Genre;Path;Wonder;Transcendence;Nostalgia;Tenderness;Peacefulness;Joy;Power;Tension;Sadness
0;Aloe Blacc;;2018;Rock;0_Aloe Blacc--2018.mp3;3;2;1;3;1;5;4;1;1
1;Avishai Cohen's New York Division;;2015;Jazz;1_Avishai Cohen's New York Division--2015.mp3;4;1;1;4;4;3;2;1;1
2;B.B. King;Jam Session (2ème);2011;Blues;2_B.B. King-Jam Session (2ème)-2011.mp3;3;4;1;3;2;4;4;3;1
3;B.B.King;The Thrill Is Gone;2000;Blues;3_B.B.King--2000.mp3;3;4;2;3;2;4;4;3;1
4;Bugge Wesseltoft and Friends;;2015;Jazz;4_Bugge Wesseltoft and Friends--2015.mp3;5;3;4;4;5;1;1;1;3
5;Chaka Khan;;1995;Soul;5_Chaka Khan--1995.mp3;2;4;1;4;2;3;3;1;3
6;Dennis Lloyd;Never Go Back;2019;Pop;6_Dennis Lloyd-Never Go Back-2019.mp3;1;3;3;3;1;2;4;4;4
7;Dhafer Youssef;;2015;Jazz;7_Dhafer Youssef--2015.mp3;5;4;4;5;5;3;1;1;3
8;Elton John;Bennie And The Jets;2019;Pop;8_Elton John-Bennie And The Jets-2019.mp3;1;1;3;3;1;4;4;1;1
9;Erykah Badu;Humble Humble;2012;Rock;9_Erykah Badu-Humble Humble-2012.mp3;4;4;3;5;4;4;1;3;1
10;Fatoumata Diawara;Anisou;2021;World;10_Fatoumata Diawara-Anisou-2021.mp3;1;4;1;1;1;5;4;1;1
11;Fourplay;Westchester Lady;2012;Jazz;11_Fourplay-Westchester Lady-2012.mp3;2;3;1;1;1;4;3;3;1
12;Gary Clark Jr.;Catfish Blues;2018;Hip Hop;12_Gary Clark Jr.-Catfish Blues-2018.mp3;1;2;1;1;1;3;3;2;1
13;Gary Clark Jr.;Our Love ;2018;Hip Hop;13_Gary Clark Jr.-Our Love -2018.mp3;1;1;2;3;3;2;3;2;1
14;Hiromi;;2014;Jazz;14_Hiromi--2014.mp3;3;1;1;3;3;3;1;5;1
15;Jack White;Connected By Love;2018;Rock;15_Jack White-Connected By Love-2018.mp3;1;4;2;3;1;3;4;2;1
16;Jacob Collier;Best Part;2019;Jazz;16_Jacob Collier-Best Part-2019.mp3;4;2;3;4;5;3;1;1;1
17;Jacob Collier;Saviour;2016;Pop;17_Jacob Collier-Saviour-2016.mp3;1;2;1;1;1;3;4;1;1
18;James Bay;Let It Go;2018;Rock;18_James Bay-Let It Go-2018.mp3;1;1;1;3;1;1;3;4;4
19;Jamie Callum;Twentysomething;2024;Jazz;19_Jamie Callum-Twentysomething-2024.mp3;3;3;1;2;2;4;2;1;1
20;Jonathan Batiste and Stay Human;Kindergarten;2013;Jazz;20_Jonathan Batiste and Stay Human-Kindergarten-2013.mp3;1;2;1;1;1;4;5;4;1
21;Jonathan Batiste and Stay Human;St. James Infirmary;2013;Jazz;21_Jonathan Batiste and Stay Human-St. James Infirmary-2013.mp3;1;4;1;1;1;3;5;5;1
22;Jorja Smith;Lifeboats;2018;Pop;22_Jorja Smith-Lifeboats-2018.mp3;2;3;1;1;1;4;4;1;1
24;Lady Blackbird;Fix It;2022;Jazz;24_Lady Blackbird-Fix It-2022.mp3;3;1;4;4;5;2;1;1;3
25;Lauryn Hill;;2019;Jazz;25_Lauryn Hill--2019.mp3;2;4;1;3;1;3;4;1;1
26;Lenny Kravitz;Drum solo;2008;Jazz;26_Lenny Kravitz-Drum solo-2008.mp3;2;3;1;1;1;1;5;4;1
27;Lenny Kravitz;It Ain’t Over ’Til It’s Over;2015;Pop;27_Lenny Kravitz-It Ain’t Over ’Til It’s Over-2015.mp3;3;1;4;5;1;5;4;1;1
28;Lonnie Linston Smith;Aquarian Cycle;1983;Jazz;28_Lonnie Linston Smith-Aquarian Cycle-1983.mp3;4;3;2;4;4;4;2;1;1
29;Lonnie Liston Smith;Expansions;1983;Soul;29_Lonnie Liston Smith-Expansions-1983.mp3;4;3;3;3;2;4;3;1;1
30;Lonnie Liston Smith;Mystic Woman (PArt 1);1983;Soul;30_Lonnie Liston Smith-Mystic Woman (PArt 1)-1983.mp3;4;4;3;4;2;3;3;1;1
31;Lonnie Liston Smith;Mystic Woman (Part 2);1983;Soul;31_Lonnie Liston Smith-Mystic Woman (Part 2)-1983.mp3;2;4;1;1;1;2;5;4;1
32;Marcus Miller;Panther;2016;Jazz;32_Marcus Miller-Panther-2016.mp3;4;3;1;1;1;4;4;4;1
33;Masego;Tadow;2019;Pop;33_Masego-Tadow-2019.mp3;2;3;3;4;4;2;2;3;3
34;Michael Kiwanuka;Light;2022;Rock;34_Michael Kiwanuka-Light-2022.mp3;1;1;4;5;5;3;1;1;3
35;Michael Kiwanuka;Love and Hate;2022;Rock;35_Michael Kiwanuka-Love and Hate-2022.mp3;1;1;4;4;3;1;4;3;4
36;Michael Kiwanuka;Rule The World;2022;Rock;36_Michael Kiwanuka-Rule The World-2022.mp3;2;3;3;2;1;2;5;5;4
37;Muse;Butterflies And Hurricanes;2016;Rock;37_Muse-Butterflies And Hurricanes-2016.mp3;1;4;4;3;1;2;5;5;3
38;Nina Simone;Backslash Blues ;1976;Jazz;38_Nina Simone-Backslash Blues -1976.mp3;2;2;3;4;3;2;1;2;2
