N° Extrait,Wonder,Transcendence,Nostalgia,Joy,Tension,Power,Sadness,Tenderness,Peacefulness
0,3,3,1,4,4,3,2,1,2
1,4,4,3,2,4,3,2,2,2
2,4,4,2,3,1,5,3,3,4
3,2,2,4,5,1,2,2,2,3
4,1,3,2,3,2,3,2,4,5
5,4,2,1,4,2,5,1,2,3
6,1,2,1,2,1,1,1,1,2
7,3,3,1,3,3,2,4,5,5
8,4,5,3,4,3,5,2,3,3
9,2,3,1,1,5,3,2,1,1
10,4,4,1,5,3,4,1,2,3
11,4,5,4,4,4,4,1,2,4
12,5,5,4,5,3,5,1,2,3
13,1,3,4,3,1,2,1,1,2
14,3,3,5,3,4,1,2,3,2
15,2,2,2,2,2,2,1,2,2
16,2,3,1,2,5,4,3,5,4
17,1,1,1,2,5,3,1,1,1
18,1,1,4,3,2,4,5,5,2
19,4,2,3,4,1,3,1,2,2
20,4,5,4,4,4,5,1,2,3
21,2,3,4,1,2,2,4,3,1
22,2,4,1,4,3,5,2,2,3
24,1,1,2,2,4,2,2,1,3
25,1,3,4,2,2,4,2,1,2
26,4,4,1,4,5,4,2,2,3
27,3,3,2,2,4,2,1,4,2
28,3,2,4,5,2,3,1,2,3
29,5,5,2,5,2,5,1,3,5
30,3,4,2,5,3,3,1,2,4
31,3,4,3,3,4,5,3,2,3
32,4,3,2,3,2,2,2,2,3
33,3,2,2,3,5,2,2,5,3
34,1,1,3,4,1,1,4,3,5
35,1,1,1,2,1,2,3,4,3
36,1,1,1,1,1,1,1,1,1
37,2,3,4,3,4,4,2,1,1
38,4,3,1,4,2,5,1,2,3
39,1,3,4,3,2,1,4,5,3
40,4,4,3,4,1,1,2,5,5
41,2,2,3,3,2,3,2,4,2
42,4,2,4,4,4,3,1,4,4
43,3,4,1,2,5,3,1,4,2
44,2,2,3,2,5,2,1,4,4
45,1,1,1,3,2,3,1,1,1
46,2,4,4,2,5,3,3,5,3
47,2,3,1,1,4,4,3,1,1
48,3,4,3,2,4,3,1,1,1
49,1,1,3,2,5,3,1,1,1
50,1,1,3,2,5,3,1,1,1
51,3,2,3,3,3,3,2,1,1
52,3,5,5,3,1,1,3,5,5
53,3,4,3,4,5,3,2,5,1
54,2,1,3,4,1,3,1,2,2
55,4,1,3,4,4,5,1,2,2
56,1,1,1,3,1,1,1,1,2
57,5,3,1,4,3,5,1,2,1
58,1,2,3,4,1,2,1,2,3
59,5,3,4,2,5,4,3,3,1
60,3,2,3,3,2,5,1,1,4
