N° Extrait,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness
0,3,2,1,3,1,5,4,1,1
1,4,1,1,4,4,3,2,1,1
2,3,4,1,3,2,4,4,3,1
3,3,4,2,3,2,4,4,3,1
4,5,3,4,4,5,1,1,1,3
5,2,4,1,4,2,3,3,1,3
6,1,3,3,3,1,2,4,4,4
7,5,4,4,5,5,3,1,1,3
8,1,1,3,3,1,4,4,1,1
9,4,4,3,5,4,4,1,3,1
10,1,4,1,1,1,5,4,1,1
11,2,3,1,1,1,4,3,3,1
12,1,2,1,1,1,3,3,2,1
13,1,1,2,3,3,2,3,2,1
14,3,1,1,3,3,3,1,5,1
15,1,4,2,3,1,3,4,2,1
16,4,2,3,4,5,3,1,1,1
17,1,2,1,1,1,3,4,1,1
18,1,1,1,3,1,1,3,4,4
19,3,3,1,2,2,4,2,1,1
20,1,2,1,1,1,4,5,4,1
21,1,4,1,1,1,3,5,5,1
22,2,3,1,1,1,4,4,1,1
24,3,1,4,4,5,2,1,1,3
25,2,4,1,3,1,3,4,1,1
26,2,3,1,1,1,1,5,4,1
27,3,1,4,5,1,5,4,1,1
28,4,3,2,4,4,4,2,1,1
29,4,3,3,3,2,4,3,1,1
30,4,4,3,4,2,3,3,1,1
31,2,4,1,1,1,2,5,4,1
32,4,3,1,1,1,4,4,4,1
33,2,3,3,4,4,2,2,3,3
34,1,1,4,5,5,3,1,1,3
35,1,1,4,4,3,1,4,3,4
36,2,3,3,2,1,2,5,5,4
37,1,4,4,3,1,2,5,5,3
38,2,2,3,4,3,2,1,2,2
39,4,1,4,3,4,4,1,1,1
40,4,1,3,5,5,2,1,1,3
41,3,1,1,5,4,4,1,1,2
42,3,2,3,2,1,4,2,1,1
43,4,3,1,2,4,4,2,2,1
44,4,4,3,5,5,3,3,3,2
45,3,3,1,4,2,5,3,1,1
46,1,1,2,4,4,1,1,2,5
47,1,2,4,1,1,1,5,3,1
48,2,3,1,2,1,4,4,1,1
49,1,3,1,1,1,4,5,3,1
50,1,4,1,1,1,4,5,4,1
51,1,3,1,1,1,4,5,4,1
52,2,3,5,3,4,1,1,1,3
53,1,3,2,3,2,3,3,4,2
54,2,4,2,1,1,4,4,4,1
55,4,3,1,4,1,5,4,1,1
56,1,1,4,4,3,3,1,1,2
57,4,3,1,3,3,5,3,1,1
58,3,2,4,5,5,5,1,1,1
59,3,1,4,3,1,2,4,2,3
60,1,3,1,1,1,5,5,5,1
