artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,Youtube ID,genre,Path
George Ezra,Budapest,5,3,4,2,5,5,2,2,1,2ixsaeFioXJmMgkkbd4uj1,Ugkxfu-9yJ7j2Z4EQTwH4ks0kQ_q9djUdd57,pop,tracks/Ugkxfu-9yJ7j2Z4EQTwH4ks0kQ_q9djUdd57.mp3
Maggie reilly,Everytime We Touch,2,1,4,4,4,3,2,2,1,2n9Ni9TFPcNHCdoPOQKXZ6,,pop,tracks/2n9Ni9TFPcNHCdoPOQKXZ6.mp3
Mozart,25. Sinfonie (I. Allegro con brio),5,4,3,1,2,5,5,3,1,,Ugkxdi4Q847_5HcKNDrEwByurSLRuDA0fG3e,classic,tracks/Ugkxdi4Q847_5HcKNDrEwByurSLRuDA0fG3e.mp3
Haftbefehl,Lass Die Affen Aus'm Zoo,1,2,1,1,1,4,4,5,1,6QNgcN2uHhXJG4RWDPyQQF,Ugkxmy_ga4iNe70znKUgLpNdaPv6HYgHWJUp,hip_hop,tracks/Ugkxmy_ga4iNe70znKUgLpNdaPv6HYgHWJUp.mp3
The Saturdays,Forever Is Over,3,3,3,2,1,4,5,2,2,6mSqWsqiv9LLPPKxrwh3yU,,pop,tracks/6mSqWsqiv9LLPPKxrwh3yU.mp3
AnnenMayKantereit,Wohin Du Gehst,3,2,4,1,2,5,5,2,1,40PO9gfu9bHdnsQqEKrcjg,UgkxiaxSqFYnjQM_-8c_0iRU4V94IMleAKvA,pop,tracks/UgkxiaxSqFYnjQM_-8c_0iRU4V94IMleAKvA.mp3
Beginner,Fï¿½chse,3,2,1,1,4,5,3,2,1,4vxjNphyAqPGR8KpuXPGoi,Ugkxg4DpwMmd0f6ft1dcr1UHjkgDVWqbUmQM,hip_hop,tracks/Ugkxg4DpwMmd0f6ft1dcr1UHjkgDVWqbUmQM.mp3
Mozart,Overtï¿½re - Die Entfï¿½hrung aus dem Serail,4,4,2,2,2,5,5,1,1,,UgkxKan9S5poJBlAi59dI9NaArtU951vd4ed,classic,tracks/UgkxKan9S5poJBlAi59dI9NaArtU951vd4ed.mp3
Magic!,Let Your Hair Down,3,2,3,4,5,3,2,2,1,0uQSHrFDVtbQyxNFCwm1EC,Ugkx1v_0SUqzOh6Gz67YBFgOSjeWNF7q1AGb,pop,tracks/Ugkx1v_0SUqzOh6Gz67YBFgOSjeWNF7q1AGb.mp3
Diana Ross,The Best Years Of My Life,2,1,4,5,5,1,1,1,4,7xTAPIggS2K1UcTF0HXkak,,funk_soul,tracks/7xTAPIggS2K1UcTF0HXkak.mp3
